,rider,scorito,year
13,Carapaz Richard,694.0,2019
133,Ackermann Pascal,648.0,2019
0,Roglič Primož,594.0,2019
3,López Miguel Ángel,544.0,2019
121,Démare Arnaud,524.0,2019
2,Nibali Vincenzo,492.0,2019
63,Ciccone Giulio,433.0,2019
5,Majka Rafał,386.0,2019
35,Landa Mikel,376.0,2019
8,Mollema Bauke,346.0,2019
1,Yates Simon,313.0,2019
166,Ewan Caleb,313.0,2019
17,Formolo Davide,312.0,2019
58,Masnada Fausto,291.0,2019
10,Bilbao Pello,282.0,2019
15,Carthy Hugh,257.0,2019
26,Conti Valerio,252.0,2019
27,Sivakov Pavel,251.0,2019
104,Rojas José Joaquín,250.0,2019
109,Madouas Valentin,248.0,2019
117,Gaviria Fernando,234.0,2019
161,Selig Rüdiger,222.0,2019
147,Cimolai Davide,217.0,2019
9,Caruso Damiano,202.0,2019
43,Polanc Jan,200.0,2019
98,Peters Nans,178.0,2019
141,Viviani Elia,178.0,2019
44,Cattaneo Mattia,176.0,2019
138,Consonni Simone,172.0,2019
66,Brambilla Gianluca,170.0,2019
36,Benedetti Cesare,170.0,2019
163,Moschetti Matteo,164.0,2019
170,Belletti Manuel,164.0,2019
72,Pedrero Antonio,158.0,2019
52,Zakarin Ilnur,157.0,2019
24,Cataldo Dario,152.0,2019
57,Hirt Jan,152.0,2019
77,Carboni Giovanni,146.0,2019
16,Ulissi Diego,144.0,2019
53,Nieve Mikel,144.0,2019
76,Amador Andrey,136.0,2019
14,Kangert Tanel,134.0,2019
61,Boaro Manuele,128.0,2019
59,Zeits Andrey,127.0,2019
110,Gogl Michael,124.0,2019
157,Nizzolo Giacomo,124.0,2019
74,Conci Nicola,123.0,2019
54,Poljański Paweł,120.0,2019
79,Mccarthy Jay,120.0,2019
171,Schwarzmann Michael,120.0,2019
28,Izagirre Ion,118.0,2019
48,Ludvigsson Tobias,118.0,2019
139,Marcato Marco,118.0,2019
167,Cima Damiano,117.0,2019
86,De Gendt Thomas,112.0,2019
106,Gibbons Ryan,110.0,2019
19,Campenaerts Victor,110.0,2019
56,Carretero Héctor,108.0,2019
94,Sütterlin Jasha,108.0,2019
70,Mas Lluís,108.0,2019
25,Chaves Esteban,106.0,2019
55,Villella Davide,102.0,2019
127,Canola Marco,100.0,2019
83,Vendrame Andrea,98.0,2019
75,Bohli Tom,98.0,2019
118,Bouwman Koen,98.0,2019
7,De Plus Laurens,96.0,2019
172,Clarke Will,94.0,2019
149,Irizar Markel,94.0,2019
87,Černý Josef,90.0,2019
20,Haga Chad,90.0,2019
39,Dombrowski Joe,90.0,2019
140,Lonardi Giovanni,90.0,2019
29,Gallopin Tony,88.0,2019
88,Bennett Sean,86.0,2019
67,Antunes Amaro,86.0,2019
107,Martens Paul,82.0,2019
150,Guarnieri Jacopo,80.0,2019
71,Sénéchal Florian,80.0,2019
155,Molano Juan Sebastián,80.0,2019
12,Jungels Bob,80.0,2019
95,Tolhoek Antwan,76.0,2019
34,Van Emden Jos,76.0,2019
114,Bidard François,75.0,2019
111,Le Gac Olivier,74.0,2019
82,De Buyst Jasper,70.0,2019
18,Pozzovivo Domenico,67.0,2019
160,Leezer Tom,66.0,2019
92,Kuss Sepp,66.0,2019
159,Simion Paolo,66.0,2019
41,Dunbar Eddie,66.0,2019
99,Gavazzi Francesco,66.0,2019
33,Hamilton Lucas,64.0,2019
168,Senni Manuel,64.0,2019
6,Geoghegan Hart Tao,64.0,2019
123,Sabatini Fabio,64.0,2019
49,Serry Pieter,62.0,2019
122,Sinkeldam Ramon,60.0,2019
130,Lobato Juan José,58.0,2019
137,Maestri Mirco,56.0,2019
146,Kuznetsov Viacheslav,54.0,2019
173,Mareczko Jakub,54.0,2019
112,Scotson Miles,52.0,2019
62,Konovalovas Ignatas,52.0,2019
4,Dumoulin Tom,51.0,2019
134,Kluge Roger,50.0,2019
158,Van Der Sande Tosh,50.0,2019
91,Bakelants Jan,48.0,2019
124,Denz Nico,48.0,2019
64,Henao Sebastián,46.0,2019
84,Vuillermoz Alexis,46.0,2019
11,De La Parte Víctor,44.0,2019
125,Knees Christian,42.0,2019
101,Oomen Sam,40.0,2019
89,Battaglin Enrico,40.0,2019
132,Biermans Jenthe,40.0,2019
90,Montaguti Matteo,38.0,2019
46,Plaza Rubén,36.0,2019
69,Capecchi Eros,36.0,2019
51,Hamilton Chris,34.0,2019
65,Neilands Krists,32.0,2019
120,Covili Luca,32.0,2019
23,Durbridge Luke,30.0,2019
164,Barbin Enrico,30.0,2019
148,Rota Lorenzo,30.0,2019
103,Dupont Hubert,28.0,2019
80,Warbasse Larry,28.0,2019
162,Modolo Sacha,28.0,2019
81,Gastauer Ben,28.0,2019
145,Santaromita Ivan,28.0,2019
100,Sbaragli Kristian,26.0,2019
129,Frapporti Marco,23.0,2019
152,Haller Marco,22.0,2019
131,Vanendert Jelle,20.0,2019
135,Hansen Adam,20.0,2019
102,Agnoli Valerio,18.0,2019
115,Sosa Iván Ramiro,18.0,2019
96,Puccio Salvatore,18.0,2019
108,Narváez Jhonatan,18.0,2019
154,Orsini Umberto,18.0,2019
73,Hindley Jai,16.0,2019
45,Bauer Jack,16.0,2019
136,Boivin Guillaume,16.0,2019
30,Gasparotto Enrico,12.0,2019
32,Bookwalter Brent,12.0,2019
38,Power Robert,11.0,2019
50,Vervaeke Louis,11.0,2019
37,O'connor Ben,10.0,2019
156,Flórez Miguel Eduardo,10.0,2019
78,Juul-jensen Christopher,10.0,2019
169,Hatsuyama Sho,10.0,2019
105,Hollenstein Reto,10.0,2019
22,Navarro Daniel,10.0,2019
116,Strakhov Dmitry,10.0,2019
175,Nishimura Hiroki,10.0,2019
143,Bagioli Nicola,10.0,2019
151,Wyss Danilo,8.0,2019
60,Ghebreigzabhier Amanuel,8.0,2019
142,Caicedo Jonathan Klever,6.0,2019
174,Breschel Matti,6.0,2019
97,Brown Nathan,6.0,2019
128,Owsian Łukasz,5.0,2019
42,Davies Scott,4.0,2019
21,Knox James,3.0,2019
93,Ventoso Francisco José,2.0,2019
153,Dunne Conor,2.0,2019
119,Bole Grega,0.0,2019
31,Honoré Mikkel Frølich,0.0,2019
68,Gradek Kamil,0.0,2019
85,Nibali Antonio,0.0,2019
165,Renshaw Mark,0.0,2019
126,Gebremedhin Awet,0.0,2019
47,Ten Dam Laurens,0.0,2019
40,Koren Kristijan,0.0,2019
144,Niv Guy,0.0,2019
113,Garosio Andrea,0.0,2019
