,rider,scorito,year
43,De Marchi Alessandro,42.0,2018
126,Frankiny Kilian,42.0,2018
84,Pantano Jarlinson,40.0,2018
86,Mori Manuele,34.0,2018
58,Polanc Jan,32.0,2018
153,Van Der Sande Tosh,30.0,2018
122,Schillinger Andreas,30.0,2018
92,Frapporti Marco,30.0,2018
151,Selig Rüdiger,30.0,2018
56,Benedetti Cesare,30.0,2018
107,Hermans Ben,30.0,2018
22,Ulissi Diego,30.0,2018
135,Turrin Alex,26.0,2018
79,Tonelli Alessandro,26.0,2018
66,Vendrame Andrea,25.0,2018
164,Curvers Roy,24.0,2018
41,Vervaeke Louis,24.0,2018
98,Ten Dam Laurens,24.0,2018
45,Hamilton Chris,24.0,2018
148,Hofstede Lennard,24.0,2018
133,Maestri Mirco,22.0,2018
30,King Ben,20.0,2018
51,Montaguti Matteo,20.0,2018
47,Masnada Fausto,20.0,2018
61,Mullen Ryan,19.0,2018
137,Venter Jaco,18.0,2018
93,Meintjes Louis,18.0,2018
163,Senni Manuel,12.0,2018
18,Preidler Georg,12.0,2018
152,Andreetta Simone,12.0,2018
174,Guardini Andrea,12.0,2018
140,Bak Lars Ytting,10.0,2018
141,Lindeman Bert-jan,10.0,2018
155,Hansen Adam,10.0,2018
167,Nibali Antonio,10.0,2018
160,Armée Sander,10.0,2018
169,Novak Domen,10.0,2018
175,Siutsou Kanstantsin,10.0,2018
74,Boaro Manuele,10.0,2018
117,Van Hoecke Gijs,10.0,2018
67,Frison Frederik,10.0,2018
69,Bouwman Koen,10.0,2018
16,Scully Tom,8.0,2018
127,Jauregui Quentin,6.0,2018
157,Zhupa Eugert,6.0,2018
119,Van Poppel Boy,6.0,2018
100,Dupont Hubert,6.0,2018
96,Bertazzo Liam,4.0,2018
158,Dempster Zak,2.0,2018
143,Mosca Jacopo,2.0,2018
132,Antón Igor,0.0,2018
85,Laengen Vegard Stake,0.0,2018
76,Didier Laurent,0.0,2018
168,Neilands Krists,0.0,2018
71,Eg Niklas,0.0,2018
166,Niv Guy,0.0,2018
87,Roux Anthony,0.0,2018
65,Dombrowski Joe,0.0,2018
64,Zardini Edoardo,0.0,2018
63,Ladagnous Matthieu,0.0,2018
62,Roy Jérémy,0.0,2018
161,Sagiv Guy,0.0,2018
94,Brown Nathan,0.0,2018
90,Berhane Natnael,0.0,2018
131,Van Asbroeck Tom,0.0,2018
99,Janse Van Rensburg Jacques,0.0,2018
103,Morabito Steve,0.0,2018
104,Irizar Markel,0.0,2018
106,Belkov Maxim,0.0,2018
149,Atapuma Darwin,0.0,2018
109,Docker Mitchell,0.0,2018
147,Bidard François,0.0,2018
110,Bonnet William,0.0,2018
145,Cherel Mikaël,0.0,2018
123,Torres Rodolfo Andrés,0.0,2018
125,Carthy Hugh,0.0,2018
129,Fonzi Giuseppe,0.0,2018
88,Coledan Marco,0.0,2018
