,rider,scorito,year
6,Yates Simon,893.0,2018
121,Viviani Elia,743.0,2018
0,Dumoulin Tom,682.0,2018
70,Carapaz Richard,582.0,2018
20,Froome Chris,564.0,2018
124,Bennett Sam,548.0,2018
60,López Miguel Ángel,521.0,2018
9,Pozzovivo Domenico,464.0,2018
39,Chaves Esteban,445.0,2018
7,Schachmann Maximilian,439.0,2018
15,Pinot Thibaut,373.0,2018
120,Nieve Mikel,315.0,2018
5,Bilbao Pello,308.0,2018
111,Modolo Sacha,305.0,2018
1,Dennis Rohan,296.0,2018
25,Formolo Davide,286.0,2018
95,Mørkøv Michael,281.0,2018
17,Konrad Patrick,276.0,2018
136,Sabatini Fabio,243.0,2018
28,Oomen Sam,240.0,2018
73,Sénéchal Florian,239.0,2018
42,Bennett George,230.0,2018
57,Kreuziger Roman,223.0,2018
144,Battaglin Enrico,220.0,2018
19,Cavagna Rémi,219.0,2018
89,Štybar Zdeněk,219.0,2018
48,Capecchi Eros,215.0,2018
172,Van Poppel Danny,214.0,2018
24,Poels Wout,212.0,2018
173,Haig Jack,211.0,2018
72,Bewley Sam,205.0,2018
3,Gonçalves José,198.0,2018
138,Tuft Svein,193.0,2018
80,Juul-jensen Christopher,193.0,2018
130,Drucker Jempy,178.0,2018
162,Bonifazio Niccolò,172.0,2018
128,Ciccone Giulio,162.0,2018
10,Betancur Carlos,160.0,2018
159,Belletti Manuel,154.0,2018
113,Ballerini Davide,152.0,2018
105,Planckaert Baptiste,152.0,2018
36,Henao Sergio,142.0,2018
142,Venturini Clément,138.0,2018
154,Mareczko Jakub,136.0,2018
75,Woods Michael,136.0,2018
54,Geniez Alexandre,130.0,2018
165,Debusschere Jens,126.0,2018
50,De La Cruz David,122.0,2018
14,Wellens Tim,120.0,2018
44,O'connor Ben,120.0,2018
35,Kiryienka Vasil,120.0,2018
68,Gibbons Ryan,118.0,2018
146,Simion Paolo,108.0,2018
77,Elissonde Kenny,104.0,2018
34,Roelandts Jürgen,98.0,2018
13,Großschartner Felix,98.0,2018
118,Knees Christian,98.0,2018
38,Puccio Salvatore,98.0,2018
11,Conti Valerio,95.0,2018
78,Mohorič Matej,94.0,2018
101,Reichenbach Sébastien,90.0,2018
46,Aru Fabio,88.0,2018
2,Campenaerts Victor,86.0,2018
33,Pfingsten Christoph,82.0,2018
4,Dowsett Alex,81.0,2018
55,Sánchez Luis León,80.0,2018
171,Sbaragli Kristian,78.0,2018
12,Würtz Schmidt Mads,77.0,2018
150,Barbin Enrico,75.0,2018
83,Pedersen Mads,74.0,2018
139,Visconti Giovanni,72.0,2018
32,Van Emden Jos,72.0,2018
112,Brambilla Gianluca,70.0,2018
8,Martin Tony,68.0,2018
114,Gavazzi Francesco,64.0,2018
116,Kuznetsov Viacheslav,64.0,2018
170,Quintana Dayer,58.0,2018
21,Valls Rafael,58.0,2018
23,De La Parte Víctor,58.0,2018
26,Sepúlveda Eduardo,58.0,2018
81,Pedrero Antonio,58.0,2018
40,Fernández Rubén,58.0,2018
97,Gesink Robert,56.0,2018
108,Zeits Andrey,54.0,2018
31,Lutsenko Alexey,54.0,2018
29,Kangert Tanel,54.0,2018
49,Denz Nico,54.0,2018
59,Villella Davide,54.0,2018
91,Hirt Jan,54.0,2018
37,Haga Chad,52.0,2018
53,Cattaneo Mattia,50.0,2018
82,Lammertink Maurits,46.0,2018
27,Marcato Marco,46.0,2018
156,Boivin Guillaume,44.0,2018
134,Plaza Rubén,44.0,2018
115,Roche Nicolas,42.0,2018
102,Vliegen Loïc,42.0,2018
52,Ventoso Francisco José,42.0,2018
