name,value,year,day
Race category:,ME - Men Elite,2017,17
Distance:,219 km,2017,17
Points scale:,GT.B.Stage,2017,17
Date:,24 May 2017,2017,17
Start time:,12:25 ,2017,17
Avg. speed winner:,38.32 km/h,2017,17
Race category:,ME - Men Elite,2017,17
Distance:,219 km,2017,17
Points scale:,GT.B.Stage,2017,17
Parcours type:,p4,2017,17
Date:,24 May 2017,2017,17
Start time:,12:25 ,2017,17
Avg. speed winner:,38.32 km/h,2017,17
Race category:,ME - Men Elite,2017,17
Distance:,219 km,2017,17
Points scale:,GT.B.Stage,2017,17
Parcours type:,p4,2017,17
ProfileScore:,166,2017,17
Date:,24 May 2017,2017,17
Start time:,12:25 ,2017,17
Avg. speed winner:,38.32 km/h,2017,17
Race category:,ME - Men Elite,2017,17
Distance:,219 km,2017,17
Points scale:,GT.B.Stage,2017,17
Parcours type:,p4,2017,17
ProfileScore:,166,2017,17
Vert. meters:,4576,2017,17
Date:,24 May 2017,2017,17
Start time:,12:25 ,2017,17
Avg. speed winner:,38.32 km/h,2017,17
Race category:,ME - Men Elite,2017,17
Distance:,219 km,2017,17
Points scale:,GT.B.Stage,2017,17
Parcours type:,p4,2017,17
ProfileScore:,166,2017,17
Vert. meters:,4576,2017,17
Departure:,Tirano,2017,17
Date:,24 May 2017,2017,17
Start time:,12:25 ,2017,17
Avg. speed winner:,38.32 km/h,2017,17
Race category:,ME - Men Elite,2017,17
Distance:,219 km,2017,17
Points scale:,GT.B.Stage,2017,17
Parcours type:,p4,2017,17
ProfileScore:,166,2017,17
Vert. meters:,4576,2017,17
Departure:,Tirano,2017,17
Arrival:,Canazei,2017,17
Date:,24 May 2017,2017,17
Start time:,12:25 ,2017,17
Avg. speed winner:,38.32 km/h,2017,17
Race category:,ME - Men Elite,2017,17
Distance:,219 km,2017,17
Points scale:,GT.B.Stage,2017,17
Parcours type:,p4,2017,17
ProfileScore:,166,2017,17
Vert. meters:,4576,2017,17
Departure:,Tirano,2017,17
Arrival:,Canazei,2017,17
Race ranking:,23,2017,17
Date:,24 May 2017,2017,17
Start time:,12:25 ,2017,17
Avg. speed winner:,38.32 km/h,2017,17
Race category:,ME - Men Elite,2017,17
Distance:,219 km,2017,17
Points scale:,GT.B.Stage,2017,17
Parcours type:,p4,2017,17
ProfileScore:,166,2017,17
Vert. meters:,4576,2017,17
Departure:,Tirano,2017,17
Arrival:,Canazei,2017,17
Race ranking:,23,2017,17
Startlist quality score:,795,2017,17
Date:,24 May 2017,2017,17
Start time:,12:25 ,2017,17
Avg. speed winner:,38.32 km/h,2017,17
Race category:,ME - Men Elite,2017,17
Distance:,219 km,2017,17
Points scale:,GT.B.Stage,2017,17
Parcours type:,p4,2017,17
ProfileScore:,166,2017,17
Vert. meters:,4576,2017,17
Departure:,Tirano,2017,17
Arrival:,Canazei,2017,17
Race ranking:,23,2017,17
Startlist quality score:,795,2017,17
Won how:,7.8 km solo,2017,17
Date:,25 May 2017,2017,18
Date:,25 May 2017,2017,18
Start time:,14:10 ,2017,18
Date:,25 May 2017,2017,18
Start time:,14:10 ,2017,18
Avg. speed winner:,35.12 km/h,2017,18
Date:,25 May 2017,2017,18
Start time:,14:10 ,2017,18
Avg. speed winner:,35.12 km/h,2017,18
Race category:,ME - Men Elite,2017,18
Date:,25 May 2017,2017,18
Start time:,14:10 ,2017,18
Avg. speed winner:,35.12 km/h,2017,18
Race category:,ME - Men Elite,2017,18
Distance:,137 km,2017,18
Date:,25 May 2017,2017,18
Start time:,14:10 ,2017,18
Avg. speed winner:,35.12 km/h,2017,18
Race category:,ME - Men Elite,2017,18
Distance:,137 km,2017,18
Points scale:,GT.B.Stage,2017,18
Date:,25 May 2017,2017,18
Start time:,14:10 ,2017,18
Avg. speed winner:,35.12 km/h,2017,18
Race category:,ME - Men Elite,2017,18
Distance:,137 km,2017,18
Points scale:,GT.B.Stage,2017,18
Parcours type:,p5,2017,18
Date:,25 May 2017,2017,18
Start time:,14:10 ,2017,18
Avg. speed winner:,35.12 km/h,2017,18
Race category:,ME - Men Elite,2017,18
Distance:,137 km,2017,18
Points scale:,GT.B.Stage,2017,18
Parcours type:,p5,2017,18
ProfileScore:,281,2017,18
Date:,25 May 2017,2017,18
Start time:,14:10 ,2017,18
Avg. speed winner:,35.12 km/h,2017,18
Race category:,ME - Men Elite,2017,18
Distance:,137 km,2017,18
Points scale:,GT.B.Stage,2017,18
Parcours type:,p5,2017,18
ProfileScore:,281,2017,18
Vert. meters:,3961,2017,18
Date:,25 May 2017,2017,18
Start time:,14:10 ,2017,18
Avg. speed winner:,35.12 km/h,2017,18
Race category:,ME - Men Elite,2017,18
Distance:,137 km,2017,18
Points scale:,GT.B.Stage,2017,18
Parcours type:,p5,2017,18
ProfileScore:,281,2017,18
Vert. meters:,3961,2017,18
Departure:,Moena,2017,18
Date:,25 May 2017,2017,18
Start time:,14:10 ,2017,18
Avg. speed winner:,35.12 km/h,2017,18
Race category:,ME - Men Elite,2017,18
Distance:,137 km,2017,18
Points scale:,GT.B.Stage,2017,18
Parcours type:,p5,2017,18
ProfileScore:,281,2017,18
Vert. meters:,3961,2017,18
Departure:,Moena,2017,18
Arrival:,Ortisei/St. Urlich,2017,18
Date:,25 May 2017,2017,18
Start time:,14:10 ,2017,18
Avg. speed winner:,35.12 km/h,2017,18
Race category:,ME - Men Elite,2017,18
Distance:,137 km,2017,18
Points scale:,GT.B.Stage,2017,18
Parcours type:,p5,2017,18
ProfileScore:,281,2017,18
Vert. meters:,3961,2017,18
Departure:,Moena,2017,18
Arrival:,Ortisei/St. Urlich,2017,18
Race ranking:,23,2017,18
Date:,25 May 2017,2017,18
Start time:,14:10 ,2017,18
Avg. speed winner:,35.12 km/h,2017,18
Race category:,ME - Men Elite,2017,18
Distance:,137 km,2017,18
Points scale:,GT.B.Stage,2017,18
Parcours type:,p5,2017,18
ProfileScore:,281,2017,18
Vert. meters:,3961,2017,18
Departure:,Moena,2017,18
Arrival:,Ortisei/St. Urlich,2017,18
Race ranking:,23,2017,18
Startlist quality score:,795,2017,18
Date:,25 May 2017,2017,18
Start time:,14:10 ,2017,18
Avg. speed winner:,35.12 km/h,2017,18
Race category:,ME - Men Elite,2017,18
Distance:,137 km,2017,18
Points scale:,GT.B.Stage,2017,18
Parcours type:,p5,2017,18
ProfileScore:,281,2017,18
Vert. meters:,3961,2017,18
Departure:,Moena,2017,18
Arrival:,Ortisei/St. Urlich,2017,18
Race ranking:,23,2017,18
Startlist quality score:,795,2017,18
Won how:,Sprint a deux,2017,18
Date:,26 May 2017,2017,19
Date:,26 May 2017,2017,19
Start time:,13:05 ,2017,19
Date:,26 May 2017,2017,19
Start time:,13:05 ,2017,19
Avg. speed winner:,39.11 km/h,2017,19
Date:,26 May 2017,2017,19
Start time:,13:05 ,2017,19
Avg. speed winner:,39.11 km/h,2017,19
Race category:,ME - Men Elite,2017,19
Date:,26 May 2017,2017,19
Start time:,13:05 ,2017,19
Avg. speed winner:,39.11 km/h,2017,19
Race category:,ME - Men Elite,2017,19
Distance:,191 km,2017,19
Date:,26 May 2017,2017,19
Start time:,13:05 ,2017,19
Avg. speed winner:,39.11 km/h,2017,19
Race category:,ME - Men Elite,2017,19
Distance:,191 km,2017,19
Points scale:,GT.B.Stage,2017,19
Date:,26 May 2017,2017,19
Start time:,13:05 ,2017,19
Avg. speed winner:,39.11 km/h,2017,19
Race category:,ME - Men Elite,2017,19
Distance:,191 km,2017,19
Points scale:,GT.B.Stage,2017,19
Parcours type:,p5,2017,19
Date:,26 May 2017,2017,19
Start time:,13:05 ,2017,19
Avg. speed winner:,39.11 km/h,2017,19
Race category:,ME - Men Elite,2017,19
Distance:,191 km,2017,19
Points scale:,GT.B.Stage,2017,19
Parcours type:,p5,2017,19
ProfileScore:,250,2017,19
Date:,26 May 2017,2017,19
Start time:,13:05 ,2017,19
Avg. speed winner:,39.11 km/h,2017,19
Race category:,ME - Men Elite,2017,19
Distance:,191 km,2017,19
Points scale:,GT.B.Stage,2017,19
Parcours type:,p5,2017,19
ProfileScore:,250,2017,19
Vert. meters:,3551,2017,19
Date:,26 May 2017,2017,19
Start time:,13:05 ,2017,19
Avg. speed winner:,39.11 km/h,2017,19
Race category:,ME - Men Elite,2017,19
Distance:,191 km,2017,19
Points scale:,GT.B.Stage,2017,19
Parcours type:,p5,2017,19
ProfileScore:,250,2017,19
Vert. meters:,3551,2017,19
Departure:,San Candido/Innichen,2017,19
Date:,26 May 2017,2017,19
Start time:,13:05 ,2017,19
Avg. speed winner:,39.11 km/h,2017,19
Race category:,ME - Men Elite,2017,19
Distance:,191 km,2017,19
Points scale:,GT.B.Stage,2017,19
Parcours type:,p5,2017,19
ProfileScore:,250,2017,19
Vert. meters:,3551,2017,19
Departure:,San Candido/Innichen,2017,19
Arrival:,Piancavallo,2017,19
Date:,26 May 2017,2017,19
Start time:,13:05 ,2017,19
Avg. speed winner:,39.11 km/h,2017,19
Race category:,ME - Men Elite,2017,19
Distance:,191 km,2017,19
Points scale:,GT.B.Stage,2017,19
Parcours type:,p5,2017,19
ProfileScore:,250,2017,19
Vert. meters:,3551,2017,19
Departure:,San Candido/Innichen,2017,19
Arrival:,Piancavallo,2017,19
Race ranking:,23,2017,19
Date:,26 May 2017,2017,19
Start time:,13:05 ,2017,19
Avg. speed winner:,39.11 km/h,2017,19
Race category:,ME - Men Elite,2017,19
Distance:,191 km,2017,19
Points scale:,GT.B.Stage,2017,19
Parcours type:,p5,2017,19
ProfileScore:,250,2017,19
Vert. meters:,3551,2017,19
Departure:,San Candido/Innichen,2017,19
Arrival:,Piancavallo,2017,19
Race ranking:,23,2017,19
Startlist quality score:,795,2017,19
Date:,26 May 2017,2017,19
Start time:,13:05 ,2017,19
Avg. speed winner:,39.11 km/h,2017,19
Race category:,ME - Men Elite,2017,19
Distance:,191 km,2017,19
Points scale:,GT.B.Stage,2017,19
Parcours type:,p5,2017,19
ProfileScore:,250,2017,19
Vert. meters:,3551,2017,19
Departure:,San Candido/Innichen,2017,19
Arrival:,Piancavallo,2017,19
Race ranking:,23,2017,19
Startlist quality score:,795,2017,19
Won how:,10.8 km solo,2017,19
Date:,27 May 2017,2017,20
Date:,27 May 2017,2017,20
Start time:,13:05 ,2017,20
Date:,27 May 2017,2017,20
Start time:,13:05 ,2017,20
Avg. speed winner:,38.26 km/h,2017,20
Date:,27 May 2017,2017,20
Start time:,13:05 ,2017,20
Avg. speed winner:,38.26 km/h,2017,20
Race category:,ME - Men Elite,2017,20
Date:,27 May 2017,2017,20
Start time:,13:05 ,2017,20
Avg. speed winner:,38.26 km/h,2017,20
Race category:,ME - Men Elite,2017,20
Distance:,190 km,2017,20
Date:,27 May 2017,2017,20
Start time:,13:05 ,2017,20
Avg. speed winner:,38.26 km/h,2017,20
Race category:,ME - Men Elite,2017,20
Distance:,190 km,2017,20
Points scale:,GT.B.Stage,2017,20
Date:,27 May 2017,2017,20
Start time:,13:05 ,2017,20
Avg. speed winner:,38.26 km/h,2017,20
Race category:,ME - Men Elite,2017,20
Distance:,190 km,2017,20
Points scale:,GT.B.Stage,2017,20
Parcours type:,p4,2017,20
Date:,27 May 2017,2017,20
Start time:,13:05 ,2017,20
Avg. speed winner:,38.26 km/h,2017,20
Race category:,ME - Men Elite,2017,20
Distance:,190 km,2017,20
Points scale:,GT.B.Stage,2017,20
Parcours type:,p4,2017,20
ProfileScore:,227,2017,20
Date:,27 May 2017,2017,20
Start time:,13:05 ,2017,20
Avg. speed winner:,38.26 km/h,2017,20
Race category:,ME - Men Elite,2017,20
Distance:,190 km,2017,20
Points scale:,GT.B.Stage,2017,20
Parcours type:,p4,2017,20
ProfileScore:,227,2017,20
Vert. meters:,3721,2017,20
Date:,27 May 2017,2017,20
Start time:,13:05 ,2017,20
Avg. speed winner:,38.26 km/h,2017,20
Race category:,ME - Men Elite,2017,20
Distance:,190 km,2017,20
Points scale:,GT.B.Stage,2017,20
Parcours type:,p4,2017,20
ProfileScore:,227,2017,20
Vert. meters:,3721,2017,20
Departure:,Pordenone,2017,20
Date:,27 May 2017,2017,20
Start time:,13:05 ,2017,20
Avg. speed winner:,38.26 km/h,2017,20
Race category:,ME - Men Elite,2017,20
Distance:,190 km,2017,20
Points scale:,GT.B.Stage,2017,20
Parcours type:,p4,2017,20
ProfileScore:,227,2017,20
Vert. meters:,3721,2017,20
Departure:,Pordenone,2017,20
Arrival:,Asiago,2017,20
Date:,27 May 2017,2017,20
Start time:,13:05 ,2017,20
Avg. speed winner:,38.26 km/h,2017,20
Race category:,ME - Men Elite,2017,20
Distance:,190 km,2017,20
Points scale:,GT.B.Stage,2017,20
Parcours type:,p4,2017,20
ProfileScore:,227,2017,20
Vert. meters:,3721,2017,20
Departure:,Pordenone,2017,20
Arrival:,Asiago,2017,20
Race ranking:,23,2017,20
Date:,27 May 2017,2017,20
Start time:,13:05 ,2017,20
Avg. speed winner:,38.26 km/h,2017,20
Race category:,ME - Men Elite,2017,20
Distance:,190 km,2017,20
Points scale:,GT.B.Stage,2017,20
Parcours type:,p4,2017,20
ProfileScore:,227,2017,20
Vert. meters:,3721,2017,20
Departure:,Pordenone,2017,20
Arrival:,Asiago,2017,20
Race ranking:,23,2017,20
Startlist quality score:,795,2017,20
Date:,27 May 2017,2017,20
Start time:,13:05 ,2017,20
Avg. speed winner:,38.26 km/h,2017,20
Race category:,ME - Men Elite,2017,20
Distance:,190 km,2017,20
Points scale:,GT.B.Stage,2017,20
Parcours type:,p4,2017,20
ProfileScore:,227,2017,20
Vert. meters:,3721,2017,20
Departure:,Pordenone,2017,20
Arrival:,Asiago,2017,20
Race ranking:,23,2017,20
Startlist quality score:,795,2017,20
Won how:,Sprint of small group,2017,20
Date:,28 May 2017,2017,21
Date:,28 May 2017,2017,21
Start time:,14:10 ,2017,21
Date:,28 May 2017,2017,21
Start time:,14:10 ,2017,21
Avg. speed winner:,53.06 km/h,2017,21
Date:,28 May 2017,2017,21
Start time:,14:10 ,2017,21
Avg. speed winner:,53.06 km/h,2017,21
Race category:,ME - Men Elite,2017,21
Date:,28 May 2017,2017,21
Start time:,14:10 ,2017,21
Avg. speed winner:,53.06 km/h,2017,21
Race category:,ME - Men Elite,2017,21
Distance:,29.3 km,2017,21
Date:,28 May 2017,2017,21
Start time:,14:10 ,2017,21
Avg. speed winner:,53.06 km/h,2017,21
Race category:,ME - Men Elite,2017,21
Distance:,29.3 km,2017,21
Points scale:,GT.B.Stage,2017,21
Date:,28 May 2017,2017,21
Start time:,14:10 ,2017,21
Avg. speed winner:,53.06 km/h,2017,21
Race category:,ME - Men Elite,2017,21
Distance:,29.3 km,2017,21
Points scale:,GT.B.Stage,2017,21
Parcours type:,p1,2017,21
Date:,28 May 2017,2017,21
Start time:,14:10 ,2017,21
Avg. speed winner:,53.06 km/h,2017,21
Race category:,ME - Men Elite,2017,21
Distance:,29.3 km,2017,21
Points scale:,GT.B.Stage,2017,21
Parcours type:,p1,2017,21
ProfileScore:,0,2017,21
Date:,28 May 2017,2017,21
Start time:,14:10 ,2017,21
Avg. speed winner:,53.06 km/h,2017,21
Race category:,ME - Men Elite,2017,21
Distance:,29.3 km,2017,21
Points scale:,GT.B.Stage,2017,21
Parcours type:,p1,2017,21
ProfileScore:,0,2017,21
Vert. meters:,25,2017,21
Date:,28 May 2017,2017,21
Start time:,14:10 ,2017,21
Avg. speed winner:,53.06 km/h,2017,21
Race category:,ME - Men Elite,2017,21
Distance:,29.3 km,2017,21
Points scale:,GT.B.Stage,2017,21
Parcours type:,p1,2017,21
ProfileScore:,0,2017,21
Vert. meters:,25,2017,21
Departure:,Monza,2017,21
Date:,28 May 2017,2017,21
Start time:,14:10 ,2017,21
Avg. speed winner:,53.06 km/h,2017,21
Race category:,ME - Men Elite,2017,21
Distance:,29.3 km,2017,21
Points scale:,GT.B.Stage,2017,21
Parcours type:,p1,2017,21
ProfileScore:,0,2017,21
Vert. meters:,25,2017,21
Departure:,Monza,2017,21
Arrival:,Milano,2017,21
Date:,28 May 2017,2017,21
Start time:,14:10 ,2017,21
Avg. speed winner:,53.06 km/h,2017,21
Race category:,ME - Men Elite,2017,21
Distance:,29.3 km,2017,21
Points scale:,GT.B.Stage,2017,21
Parcours type:,p1,2017,21
ProfileScore:,0,2017,21
Vert. meters:,25,2017,21
Departure:,Monza,2017,21
Arrival:,Milano,2017,21
Race ranking:,23,2017,21
Date:,28 May 2017,2017,21
Start time:,14:10 ,2017,21
Avg. speed winner:,53.06 km/h,2017,21
Race category:,ME - Men Elite,2017,21
Distance:,29.3 km,2017,21
Points scale:,GT.B.Stage,2017,21
Parcours type:,p1,2017,21
ProfileScore:,0,2017,21
Vert. meters:,25,2017,21
Departure:,Monza,2017,21
Arrival:,Milano,2017,21
Race ranking:,23,2017,21
Startlist quality score:,795,2017,21
Date:,28 May 2017,2017,21
Start time:,14:10 ,2017,21
Avg. speed winner:,53.06 km/h,2017,21
Race category:,ME - Men Elite,2017,21
Distance:,29.3 km,2017,21
Points scale:,GT.B.Stage,2017,21
Parcours type:,p1,2017,21
ProfileScore:,0,2017,21
Vert. meters:,25,2017,21
Departure:,Monza,2017,21
Arrival:,Milano,2017,21
Race ranking:,23,2017,21
Startlist quality score:,795,2017,21
Won how:,Time Trial,2017,21
Date:,04 May 2018,2018,1
Date:,04 May 2018,2018,1
Start time:,12:50 ,2018,1
Date:,04 May 2018,2018,1
Start time:,12:50 ,2018,1
Avg. speed winner:,48.37 km/h,2018,1
Date:,04 May 2018,2018,1
Start time:,12:50 ,2018,1
Avg. speed winner:,48.37 km/h,2018,1
Race category:,ME - Men Elite,2018,1
Date:,04 May 2018,2018,1
Start time:,12:50 ,2018,1
Avg. speed winner:,48.37 km/h,2018,1
Race category:,ME - Men Elite,2018,1
Distance:,9.7 km,2018,1
Date:,04 May 2018,2018,1
Start time:,12:50 ,2018,1
Avg. speed winner:,48.37 km/h,2018,1
Race category:,ME - Men Elite,2018,1
Distance:,9.7 km,2018,1
Points scale:,GT.B.Stage,2018,1
Date:,04 May 2018,2018,1
Start time:,12:50 ,2018,1
Avg. speed winner:,48.37 km/h,2018,1
Race category:,ME - Men Elite,2018,1
Distance:,9.7 km,2018,1
Points scale:,GT.B.Stage,2018,1
Parcours type:,p3,2018,1
Date:,04 May 2018,2018,1
Start time:,12:50 ,2018,1
Avg. speed winner:,48.37 km/h,2018,1
Race category:,ME - Men Elite,2018,1
Distance:,9.7 km,2018,1
Points scale:,GT.B.Stage,2018,1
Parcours type:,p3,2018,1
ProfileScore:,9,2018,1
Date:,04 May 2018,2018,1
Start time:,12:50 ,2018,1
Avg. speed winner:,48.37 km/h,2018,1
Race category:,ME - Men Elite,2018,1
Distance:,9.7 km,2018,1
Points scale:,GT.B.Stage,2018,1
Parcours type:,p3,2018,1
ProfileScore:,9,2018,1
Vert. meters:,155,2018,1
Date:,04 May 2018,2018,1
Start time:,12:50 ,2018,1
Avg. speed winner:,48.37 km/h,2018,1
Race category:,ME - Men Elite,2018,1
Distance:,9.7 km,2018,1
Points scale:,GT.B.Stage,2018,1
Parcours type:,p3,2018,1
ProfileScore:,9,2018,1
Vert. meters:,155,2018,1
Departure:,Jerusalem,2018,1
Date:,04 May 2018,2018,1
Start time:,12:50 ,2018,1
Avg. speed winner:,48.37 km/h,2018,1
Race category:,ME - Men Elite,2018,1
Distance:,9.7 km,2018,1
Points scale:,GT.B.Stage,2018,1
Parcours type:,p3,2018,1
ProfileScore:,9,2018,1
Vert. meters:,155,2018,1
Departure:,Jerusalem,2018,1
Arrival:,Jerusalem,2018,1
Date:,04 May 2018,2018,1
Start time:,12:50 ,2018,1
Avg. speed winner:,48.37 km/h,2018,1
Race category:,ME - Men Elite,2018,1
Distance:,9.7 km,2018,1
Points scale:,GT.B.Stage,2018,1
Parcours type:,p3,2018,1
ProfileScore:,9,2018,1
Vert. meters:,155,2018,1
Departure:,Jerusalem,2018,1
Arrival:,Jerusalem,2018,1
Race ranking:,19,2018,1
Date:,04 May 2018,2018,1
Start time:,12:50 ,2018,1
Avg. speed winner:,48.37 km/h,2018,1
Race category:,ME - Men Elite,2018,1
Distance:,9.7 km,2018,1
Points scale:,GT.B.Stage,2018,1
Parcours type:,p3,2018,1
ProfileScore:,9,2018,1
Vert. meters:,155,2018,1
Departure:,Jerusalem,2018,1
Arrival:,Jerusalem,2018,1
Race ranking:,19,2018,1
Startlist quality score:,837,2018,1
Date:,04 May 2018,2018,1
Start time:,12:50 ,2018,1
Avg. speed winner:,48.37 km/h,2018,1
Race category:,ME - Men Elite,2018,1
Distance:,9.7 km,2018,1
Points scale:,GT.B.Stage,2018,1
Parcours type:,p3,2018,1
ProfileScore:,9,2018,1
Vert. meters:,155,2018,1
Departure:,Jerusalem,2018,1
Arrival:,Jerusalem,2018,1
Race ranking:,19,2018,1
Startlist quality score:,837,2018,1
Won how:,Time Trial,2018,1
Date:,05 May 2018,2018,2
Date:,05 May 2018,2018,2
Start time:,13:10 ,2018,2
Date:,05 May 2018,2018,2
Start time:,13:10 ,2018,2
Avg. speed winner:,43.31 km/h,2018,2
Date:,05 May 2018,2018,2
Start time:,13:10 ,2018,2
Avg. speed winner:,43.31 km/h,2018,2
Race category:,ME - Men Elite,2018,2
Date:,05 May 2018,2018,2
Start time:,13:10 ,2018,2
Avg. speed winner:,43.31 km/h,2018,2
Race category:,ME - Men Elite,2018,2
Distance:,167 km,2018,2
Date:,05 May 2018,2018,2
Start time:,13:10 ,2018,2
Avg. speed winner:,43.31 km/h,2018,2
Race category:,ME - Men Elite,2018,2
Distance:,167 km,2018,2
Points scale:,GT.B.Stage,2018,2
Date:,05 May 2018,2018,2
Start time:,13:10 ,2018,2
Avg. speed winner:,43.31 km/h,2018,2
Race category:,ME - Men Elite,2018,2
Distance:,167 km,2018,2
Points scale:,GT.B.Stage,2018,2
Parcours type:,p2,2018,2
Date:,05 May 2018,2018,2
Start time:,13:10 ,2018,2
Avg. speed winner:,43.31 km/h,2018,2
Race category:,ME - Men Elite,2018,2
Distance:,167 km,2018,2
Points scale:,GT.B.Stage,2018,2
Parcours type:,p2,2018,2
ProfileScore:,9,2018,2
Date:,05 May 2018,2018,2
Start time:,13:10 ,2018,2
Avg. speed winner:,43.31 km/h,2018,2
Race category:,ME - Men Elite,2018,2
Distance:,167 km,2018,2
Points scale:,GT.B.Stage,2018,2
Parcours type:,p2,2018,2
ProfileScore:,9,2018,2
Vert. meters:,988,2018,2
Date:,05 May 2018,2018,2
Start time:,13:10 ,2018,2
Avg. speed winner:,43.31 km/h,2018,2
Race category:,ME - Men Elite,2018,2
Distance:,167 km,2018,2
Points scale:,GT.B.Stage,2018,2
Parcours type:,p2,2018,2
ProfileScore:,9,2018,2
Vert. meters:,988,2018,2
Departure:,Haifa,2018,2
Date:,05 May 2018,2018,2
Start time:,13:10 ,2018,2
Avg. speed winner:,43.31 km/h,2018,2
Race category:,ME - Men Elite,2018,2
Distance:,167 km,2018,2
Points scale:,GT.B.Stage,2018,2
Parcours type:,p2,2018,2
ProfileScore:,9,2018,2
Vert. meters:,988,2018,2
Departure:,Haifa,2018,2
Arrival:,Tel Aviv,2018,2
Date:,05 May 2018,2018,2
Start time:,13:10 ,2018,2
Avg. speed winner:,43.31 km/h,2018,2
Race category:,ME - Men Elite,2018,2
Distance:,167 km,2018,2
Points scale:,GT.B.Stage,2018,2
Parcours type:,p2,2018,2
ProfileScore:,9,2018,2
Vert. meters:,988,2018,2
Departure:,Haifa,2018,2
Arrival:,Tel Aviv,2018,2
Race ranking:,19,2018,2
Date:,05 May 2018,2018,2
Start time:,13:10 ,2018,2
Avg. speed winner:,43.31 km/h,2018,2
Race category:,ME - Men Elite,2018,2
Distance:,167 km,2018,2
Points scale:,GT.B.Stage,2018,2
Parcours type:,p2,2018,2
ProfileScore:,9,2018,2
Vert. meters:,988,2018,2
Departure:,Haifa,2018,2
Arrival:,Tel Aviv,2018,2
Race ranking:,19,2018,2
Startlist quality score:,837,2018,2
Date:,05 May 2018,2018,2
Start time:,13:10 ,2018,2
Avg. speed winner:,43.31 km/h,2018,2
Race category:,ME - Men Elite,2018,2
Distance:,167 km,2018,2
Points scale:,GT.B.Stage,2018,2
Parcours type:,p2,2018,2
ProfileScore:,9,2018,2
Vert. meters:,988,2018,2
Departure:,Haifa,2018,2
Arrival:,Tel Aviv,2018,2
Race ranking:,19,2018,2
Startlist quality score:,837,2018,2
Won how:,Sprint of large group,2018,2
Date:,06 May 2018,2018,3
Date:,06 May 2018,2018,3
Start time:,12:40 ,2018,3
Date:,06 May 2018,2018,3
Start time:,12:40 ,2018,3
Avg. speed winner:,45.47 km/h,2018,3
Date:,06 May 2018,2018,3
Start time:,12:40 ,2018,3
Avg. speed winner:,45.47 km/h,2018,3
Race category:,ME - Men Elite,2018,3
Date:,06 May 2018,2018,3
Start time:,12:40 ,2018,3
Avg. speed winner:,45.47 km/h,2018,3
Race category:,ME - Men Elite,2018,3
Distance:,229 km,2018,3
Date:,06 May 2018,2018,3
Start time:,12:40 ,2018,3
Avg. speed winner:,45.47 km/h,2018,3
Race category:,ME - Men Elite,2018,3
Distance:,229 km,2018,3
Points scale:,GT.B.Stage,2018,3
Date:,06 May 2018,2018,3
Start time:,12:40 ,2018,3
Avg. speed winner:,45.47 km/h,2018,3
Race category:,ME - Men Elite,2018,3
Distance:,229 km,2018,3
Points scale:,GT.B.Stage,2018,3
Parcours type:,p2,2018,3
Date:,06 May 2018,2018,3
Start time:,12:40 ,2018,3
Avg. speed winner:,45.47 km/h,2018,3
Race category:,ME - Men Elite,2018,3
Distance:,229 km,2018,3
Points scale:,GT.B.Stage,2018,3
Parcours type:,p2,2018,3
ProfileScore:,16,2018,3
Date:,06 May 2018,2018,3
Start time:,12:40 ,2018,3
Avg. speed winner:,45.47 km/h,2018,3
Race category:,ME - Men Elite,2018,3
Distance:,229 km,2018,3
Points scale:,GT.B.Stage,2018,3
Parcours type:,p2,2018,3
ProfileScore:,16,2018,3
Vert. meters:,1771,2018,3
Date:,06 May 2018,2018,3
Start time:,12:40 ,2018,3
Avg. speed winner:,45.47 km/h,2018,3
Race category:,ME - Men Elite,2018,3
Distance:,229 km,2018,3
Points scale:,GT.B.Stage,2018,3
Parcours type:,p2,2018,3
ProfileScore:,16,2018,3
Vert. meters:,1771,2018,3
Departure:,Be'er Sheva,2018,3
Date:,06 May 2018,2018,3
Start time:,12:40 ,2018,3
Avg. speed winner:,45.47 km/h,2018,3
Race category:,ME - Men Elite,2018,3
Distance:,229 km,2018,3
Points scale:,GT.B.Stage,2018,3
Parcours type:,p2,2018,3
ProfileScore:,16,2018,3
Vert. meters:,1771,2018,3
Departure:,Be'er Sheva,2018,3
Arrival:,Eilat,2018,3
Date:,06 May 2018,2018,3
Start time:,12:40 ,2018,3
Avg. speed winner:,45.47 km/h,2018,3
Race category:,ME - Men Elite,2018,3
Distance:,229 km,2018,3
Points scale:,GT.B.Stage,2018,3
Parcours type:,p2,2018,3
ProfileScore:,16,2018,3
Vert. meters:,1771,2018,3
Departure:,Be'er Sheva,2018,3
Arrival:,Eilat,2018,3
Race ranking:,19,2018,3
Date:,06 May 2018,2018,3
Start time:,12:40 ,2018,3
Avg. speed winner:,45.47 km/h,2018,3
Race category:,ME - Men Elite,2018,3
Distance:,229 km,2018,3
Points scale:,GT.B.Stage,2018,3
Parcours type:,p2,2018,3
ProfileScore:,16,2018,3
Vert. meters:,1771,2018,3
Departure:,Be'er Sheva,2018,3
Arrival:,Eilat,2018,3
Race ranking:,19,2018,3
Startlist quality score:,837,2018,3
Date:,06 May 2018,2018,3
Start time:,12:40 ,2018,3
Avg. speed winner:,45.47 km/h,2018,3
Race category:,ME - Men Elite,2018,3
Distance:,229 km,2018,3
Points scale:,GT.B.Stage,2018,3
