,rider,scorito,year
183,Thomson Jay Robert,3.0,2016
117,Van Zyl Johann,3.0,2016
19,Geniez Alexandre,2.0,2016
80,Clarke Simon,2.0,2016
77,Rosskopf Joey,1.0,2016
188,Hernández Blázquez Jesús,0.0,2016
61,Peraud Jean-christophe,0.0,2016
64,Vaugrenard Benoît,0.0,2016
191,Bonnafond Guillaume,0.0,2016
70,Senni Manuel,0.0,2016
53,Quinziato Manuel,0.0,2016
51,Konovalovas Ignatas,0.0,2016
192,Zhupa Eugert,0.0,2016
90,Tosatto Matteo,0.0,2016
164,Poljański Paweł,0.0,2016
97,Bertazzo Liam,0.0,2016
177,Rodríguez Cristián,0.0,2016
98,Martínez Daniel Felipe,0.0,2016
101,Pozzato Filippo,0.0,2016
105,Houle Hugo,0.0,2016
120,Sarreau Marc,0.0,2016
121,Fischer Murilo Antonio,0.0,2016
140,Kadri Blel,0.0,2016
143,Petrov Evgeni,0.0,2016
197,Mareczko Jakub,0.0,2016
