name,gc_result,giro_w,stage_result,stage_wins,top10,giro_total,year
Boaro Manuele,46,-,4,-,-,216,2020
Pernsteiner Hermann,10,-,2,-,-,214,2020
Pedrero Antonio,19,-,8,-,-,212,2020
Konovalovas Ignatas,90,-,1,1,1,203,2020
Castroviejo Jonathan,23,-,2,-,-,198,2020
Černý Josef,86,-,1,1,1,197,2020
Brändle Matthias,90,-,2,-,-,195,2020
Bouwman Koen,12,-,8,-,-,191,2020
Clarke Simon,63,-,2,-,-,173,2020
Valter Attila,14,-,6,-,-,172,2020
Serry Pieter,28,-,5,-,-,168,2020
Martin Tony,110,-,2,-,-,160,2020
Wyss Danilo,82,-,9,-,-,157,2020
Affini Edoardo,113,-,2,-,-,155,2020
Denz Nico,62,-,2,-,-,153,2020
Knox James,14,-,7,-,-,148,2020
Frapporti Marco,81,-,13,-,-,146,2020
Warbasse Larry,17,-,5,-,-,145,2020
Hamilton Chris,29,-,2,-,-,143,2020
Samitier Sergio,13,-,6,-,-,140,2020
Villella Davide,40,-,7,-,-,139,2020
Vanhoucke Harm,60,-,3,-,-,138,2020
Honoré Mikkel Frølich,30,-,3,-,-,133,2020
De La Parte Víctor,21,-,12,-,-,132,2020
Carboni Giovanni,35,-,4,-,-,129,2020
Bookwalter Brent,66,-,2,-,-,128,2020
Rosskopf Joey,64,-,4,-,-,128,2020
Narváez Jhonatan,49,-,1,1,1,126,2020
Ballerini Davide,68,-,3,-,-,125,2020
Arashiro Yukiya,77,-,3,-,-,121,2020
Oldani Stefano,79,-,4,-,-,121,2020
Caicedo Jonathan Klever,65,-,1,1,1,120,2020
Zabel Rick,123,-,5,-,-,118,2020
Mosca Jacopo,31,-,3,-,-,116,2020
Guerreiro Ruben,33,-,1,1,1,115,2020
Fiorelli Filippo,108,-,3,-,-,115,2020
Gastauer Ben,29,-,12,-,-,110,2020
Hepburn Michael,120,-,13,-,-,106,2020
Hamilton Lucas,25,-,4,-,-,106,2020
Frankiny Kilian,43,-,4,-,-,103,2020
Bjerg Mikkel,97,-,3,-,-,103,2020
Zardini Edoardo,53,-,5,-,-,100,2020
Bodnar Maciej,107,-,8,-,-,98,2020
Bidard François,30,-,6,-,-,97,2020
Armée Sander,47,-,6,-,-,95,2020
Meyer Cameron,111,-,6,-,-,91,2020
Paret-peintre Aurélien,16,-,18,-,-,90,2020
Fabbro Matteo,23,-,8,-,-,85,2020
Sobrero Matteo,61,-,4,-,-,83,2020
Navarro Daniel,31,-,16,-,-,80,2020
Poljański Paweł,35,-,24,-,-,80,2020
Bisolti Alessandro,49,-,20,-,-,80,2020
Haas Nathan,104,-,4,-,-,74,2020
Hodeg Álvaro José,131,-,3,-,-,73,2020
Rota Lorenzo,85,-,9,-,-,73,2020
Gallopin Tony,60,-,2,-,-,72,2020
Pellaud Simon,69,-,5,-,-,71,2020
Molano Juan Sebastián,126,-,4,-,-,70,2020
Padun Mark,70,-,2,-,-,70,2020
Bouchard Geoffrey,55,-,6,-,-,70,2020
Ghebreigzabhier Amanuel,45,-,9,-,-,68,2020
Scotson Miles,113,-,5,-,-,66,2020
Torres Albert,106,-,7,-,-,62,2020
Ravanelli Simone,71,-,6,-,-,61,2020
Sepúlveda Eduardo,47,-,15,-,-,61,2020
Nibali Antonio,37,-,35,-,-,60,2020
Guglielmi Simon,90,-,5,-,-,58,2020
Rubio Einer Augusto,39,-,6,-,-,55,2020
Holmes Matthew,81,-,3,-,-,55,2020
Lonardi Giovanni,125,-,8,-,-,52,2020
Zana Filippo,73,-,7,-,-,52,2020
Gradek Kamil,104,-,9,-,-,49,2020
Guarnieri Jacopo,128,-,10,-,-,49,2020
Hansen Jesper,32,-,10,-,-,46,2020
Bernard Julien,42,-,10,-,-,46,2020
Małecki Kamil,68,-,4,-,-,45,2020
Pfingsten Christoph,58,-,4,-,-,45,2020
Novak Domen,59,-,12,-,-,44,2020
Conci Nicola,52,-,12,-,-,44,2020
Tusveld Martijn,26,-,12,-,-,44,2020
Bennett Sean,106,-,9,-,-,44,2020
Chirico Luca,85,-,27,-,-,40,2020
Sagiv Guy,132,-,35,-,-,40,2020
Carretero Héctor,79,-,43,-,-,40,2020
Kochetkov Pavel,32,-,17,-,-,40,2020
Rodríguez Óscar,45,-,8,-,-,30,2020
Tonelli Alessandro,51,-,10,-,-,28,2020
Edet Nicolas,-,-,7,-,-,28,2020
Van Empel Etienne,88,-,12,-,-,26,2020
Restrepo Jhonatan,103,-,11,-,-,25,2020
Morton Lachlan,111,-,13,-,-,23,2020
Haig Jack,36,-,13,-,-,23,2020
Covili Luca,84,-,14,-,-,22,2020
Mathis Marco,130,-,14,-,-,22,2020
Bais Mattia,102,-,52,-,-,20,2020
Whelan James,105,-,33,-,-,20,2020
Rossetto Stéphane,63,-,21,-,-,20,2020
Cepeda Jefferson Alexander,78,-,18,-,-,20,2020
Tolhoek Antwan,65,-,16,-,-,20,2020
Bevilacqua Simone,127,-,56,-,-,20,2020
Sinkeldam Ramon,133,-,17,-,-,20,2020
Sunderland Dylan,114,-,39,-,-,20,2020
Hänninen Jaakko,73,-,33,-,-,20,2020
Howson Damien,53,-,17,-,-,20,2020
Contreras Rodrigo,110,-,73,-,-,20,2020
Mazzucco Fabio,129,-,80,-,-,20,2020
Le Turnier Mathias,80,-,39,-,-,20,2020
Rumac Josip,99,-,22,-,-,20,2020
Meintjes Louis,36,-,16,-,-,20,2020
Hagen Carl Fredrik,42,-,27,-,-,20,2020
Dibben Jonathan,133,-,63,-,-,20,2020
Romano Francesco,91,-,31,-,-,20,2020
Gregaard Jonas,53,-,33,-,-,20,2020
Wackermann Luca,-,-,5,-,-,18,2020
Barbier Rudy,-,-,6,-,-,18,2020
Craddock Lawson,-,-,8,-,-,10,2020
Thomas Benjamin,-,-,76,-,-,0,2020
Harper Chris,-,-,28,-,-,0,2020
Cataford Alexander,-,-,64,-,-,0,2020
Gamper Patrick,-,-,51,-,-,0,2020
Spreafico Matteo,-,-,1011,-,-,0,2020
Nibali Vincenzo,1,2,1,7,7,3843,2021
Pozzovivo Domenico,5,-,1,1,1,2226,2021
Viviani Elia,112,-,1,5,5,1318,2021
Nizzolo Giacomo,110,-,1,1,1,1235,2021
Ulissi Diego,17,-,1,8,8,1225,2021
Yates Simon,3,-,1,4,4,1198,2021
Landa Mikel,3,-,1,3,3,1191,2021
Nieve Mikel,10,-,1,3,3,1124,2021
Visconti Giovanni,13,-,1,2,2,1121,2021
Caruso Damiano,2,-,1,1,1,1113,2021
Cataldo Dario,12,-,1,1,1,991,2021
Bilbao Pello,5,-,1,2,2,917,2021
Almeida João,4,-,2,-,-,899,2021
Formolo Davide,10,-,1,1,1,899,2021
Battaglin Enrico,34,-,1,3,3,835,2021
Mollema Bauke,5,-,3,-,-,769,2021
Kangert Tanel,13,-,2,-,-,759,2021
Bernal Egan,1,1,1,2,2,742,2021
Gaviria Fernando,109,-,1,5,5,742,2021
Ewan Caleb,-,-,1,5,5,719,2021
Brambilla Gianluca,13,-,1,1,1,685,2021
De Gendt Thomas,3,-,1,1,1,609,2021
Belletti Manuel,109,-,1,1,1,563,2021
Richeze Maximiliano,92,-,1,2,2,543,2021
Hindley Jai,2,-,1,1,1,527,2021
Sagan Peter,92,-,1,2,2,525,2021
Ganna Filippo,61,-,1,6,6,520,2021
Ciccone Giulio,16,-,1,2,2,458,2021
Carthy Hugh,8,-,4,-,-,455,2021
Bennett George,8,-,3,-,-,449,2021
Masnada Fausto,9,-,1,1,1,435,2021
Campenaerts Victor,95,-,1,1,1,376,2021
Felline Fabio,25,-,2,-,-,361,2021
Dombrowski Joe,12,-,1,1,1,356,2021
Cimolai Davide,118,-,2,-,-,353,2021
Van Emden Jos,99,-,1,1,1,352,2021
Gavazzi Francesco,29,-,2,-,-,342,2021
Vendrame Andrea,50,-,1,1,1,336,2021
Sabatini Fabio,79,-,2,-,-,335,2021
Martin Dan,10,-,1,1,1,332,2021
Vlasov Aleksandr,4,-,3,-,-,322,2021
Martínez Daniel Felipe,5,-,3,-,-,315,2021
Hirt Jan,12,-,2,-,-,314,2021
Arndt Nikias,62,-,1,1,1,302,2021
Bardet Romain,7,-,2,-,-,278,2021
Dowsett Alex,120,-,1,2,2,261,2021
Reichenbach Sébastien,15,-,3,-,-,254,2021
Puccio Salvatore,56,-,2,-,-,253,2021
Tratnik Jan,62,-,1,1,1,250,2021
Izagirre Gorka,19,-,1,1,1,250,2021
Sánchez Luis León,25,-,2,-,-,245,2021
Foss Tobias,9,-,3,-,-,241,2021
De Marchi Alessandro,65,-,2,-,-,233,2021
Conti Valerio,24,-,2,-,-,233,2021
Keisse Iljo,121,-,1,1,1,232,2021
Benedetti Cesare,74,-,1,1,1,218,2021
Consonni Simone,110,-,2,-,-,217,2021
Roche Nicolas,24,-,3,-,-,212,2021
Pedrero Antonio,19,-,8,-,-,212,2021
Castroviejo Jonathan,23,-,2,-,-,198,2021
Brändle Matthias,90,-,2,-,-,195,2021
Bouwman Koen,12,-,8,-,-,191,2021
Sivakov Pavel,9,-,7,-,-,185,2021
Fortunato Lorenzo,16,-,1,1,1,182,2021
Kluge Roger,137,-,1,1,1,177,2021
Van Garderen Tejay,20,-,1,1,1,174,2021
Valter Attila,14,-,6,-,-,172,2021
Serry Pieter,28,-,5,-,-,168,2021
Martens Paul,63,-,3,-,-,164,2021
Affini Edoardo,113,-,2,-,-,155,2021
Denz Nico,62,-,2,-,-,153,2021
Mohorič Matej,30,-,1,1,1,153,2021
Bettiol Alberto,30,-,1,1,1,152,2021
Oss Daniel,103,-,2,-,-,151,2021
Knox James,14,-,7,-,-,148,2021
Warbasse Larry,17,-,5,-,-,145,2021
Hamilton Chris,29,-,2,-,-,143,2021
Taaramäe Rein,29,-,1,1,1,140,2021
Villella Davide,40,-,7,-,-,139,2021
Vanhoucke Harm,60,-,3,-,-,138,2021
Honoré Mikkel Frølich,30,-,3,-,-,133,2021
Carboni Giovanni,35,-,4,-,-,129,2021
Oliveira Nelson,27,-,4,-,-,127,2021
Narváez Jhonatan,49,-,1,1,1,126,2021
Juul-jensen Christopher,70,-,10,-,-,126,2021
Großschartner Felix,27,-,3,-,-,124,2021
Oldani Stefano,79,-,4,-,-,121,2021
Arashiro Yukiya,77,-,3,-,-,121,2021
Moschetti Matteo,141,-,4,-,-,120,2021
Caicedo Jonathan Klever,65,-,1,1,1,120,2021
Merlier Tim,-,-,1,1,1,119,2021
Mosca Jacopo,31,-,3,-,-,116,2021
Cavagna Rémi,68,-,2,-,-,116,2021
Fiorelli Filippo,108,-,3,-,-,115,2021
Guerreiro Ruben,33,-,1,1,1,115,2021
Covi Alessandro,38,-,2,-,-,108,2021
Van Der Hoorn Taco,107,-,1,1,1,108,2021
Hepburn Michael,120,-,13,-,-,106,2021
Petilli Simone,26,-,8,-,-,104,2021
Frankiny Kilian,43,-,4,-,-,103,2021
Schmid Mauro,93,-,1,1,1,100,2021
Bodnar Maciej,107,-,8,-,-,98,2021
Bidard François,30,-,6,-,-,97,2021
Vervaeke Louis,20,-,4,-,-,95,2021
Meyer Cameron,111,-,6,-,-,91,2021
Fabbro Matteo,23,-,8,-,-,85,2021
Sobrero Matteo,61,-,4,-,-,83,2021
Lafay Victor,-,-,1,1,1,80,2021
Mäder Gino,-,-,1,1,1,80,2021
Keukeleire Jens,74,-,8,-,-,75,2021
Moscon Gianni,24,-,9,-,-,74,2021
Gallopin Tony,60,-,2,-,-,72,2021
Pellaud Simon,69,-,5,-,-,71,2021
Molano Juan Sebastián,126,-,4,-,-,70,2021
Bouchard Geoffrey,55,-,6,-,-,70,2021
De Bondt Dries,91,-,4,-,-,70,2021
Riesebeek Oscar,104,-,2,-,-,70,2021
De Kort Koen,78,-,10,-,-,69,2021
Ghebreigzabhier Amanuel,45,-,9,-,-,68,2021
Evenepoel Remco,-,-,4,-,-,65,2021
Pasqualon Andrea,72,-,5,-,-,65,2021
Torres Albert,106,-,7,-,-,62,2021
Sepúlveda Eduardo,47,-,15,-,-,61,2021
Ravanelli Simone,71,-,6,-,-,61,2021
Lindeman Bert-jan,95,-,43,-,-,60,2021
Neilands Krists,73,-,5,-,-,58,2021
Guglielmi Simon,90,-,5,-,-,58,2021
Rubio Einer Augusto,39,-,6,-,-,55,2021
Groenewegen Dylan,-,-,4,-,-,53,2021
Vermeersch Gianni,87,-,5,-,-,53,2021
Zana Filippo,73,-,7,-,-,52,2021
Walscheid Max,124,-,6,-,-,51,2021
Valls Rafael,29,-,14,-,-,47,2021
Wiśniowski Łukasz,131,-,12,-,-,46,2021
Kanter Max,116,-,8,-,-,46,2021
Hermans Quinten,43,-,5,-,-,46,2021
Niv Guy,74,-,12,-,-,44,2021
Naesen Lawrence,119,-,8,-,-,41,2021
Ravasi Edward,46,-,19,-,-,40,2021
Molard Rudy,37,-,26,-,-,40,2021
Berhane Natnael,59,-,22,-,-,40,2021
Bevin Patrick,48,-,5,-,-,38,2021
Battistella Samuele,82,-,6,-,-,35,2021
Albanese Vincenzo,75,-,8,-,-,35,2021
Tesfatsion Natnael,92,-,8,-,-,33,2021
Gougeard Alexis,114,-,8,-,-,30,2021
Edet Nicolas,-,-,7,-,-,28,2021
Krieger Alexander,140,-,11,-,-,25,2021
Tagliani Filippo,123,-,13,-,-,23,2021
Van Den Berg Lars,64,-,14,-,-,22,2021
Minali Riccardo,143,-,15,-,-,21,2021
Soler Marc,-,-,8,-,-,20,2021
Badilatti Matteo,34,-,17,-,-,20,2021
Aleotti Giovanni,80,-,62,-,-,20,2021
Leysen Senne,101,-,44,-,-,20,2021
Scotson Callum,83,-,32,-,-,20,2021
Duchesne Antoine,115,-,65,-,-,20,2021
Rivi Samuele,129,-,16,-,-,20,2021
Dina Márton,100,-,44,-,-,20,2021
Gabburo Davide,106,-,23,-,-,20,2021
Ponomar Andrii,67,-,18,-,-,20,2021
Zoccarato Samuele,105,-,28,-,-,20,2021
Venchiarutti Nicola,132,-,61,-,-,20,2021
Janssens Jimmy,65,-,26,-,-,20,2021
Carr Simon,66,-,25,-,-,20,2021
Marengo Umberto,139,-,79,-,-,20,2021
Pronskiy Vadim,40,-,16,-,-,20,2021
Van Den Berg Julius,125,-,20,-,-,20,2021
Storer Michael,31,-,16,-,-,20,2021
Marczyński Tomasz,47,-,25,-,-,20,2021
De Buyst Jasper,-,-,8,-,-,20,2021
Kreder Wesley,128,-,23,-,-,20,2021
Cepeda Jefferson Alexander,78,-,18,-,-,20,2021
Viviani Attilio,142,-,63,-,-,20,2021
Seigle Romain,88,-,24,-,-,20,2021
Tejada Harold,36,-,19,-,-,20,2021
Christian Mark,76,-,32,-,-,20,2021
Jorgenson Matteo,98,-,31,-,-,20,2021
Goossens Kobe,-,-,6,-,-,15,2021
Buchmann Emanuel,-,-,12,-,-,13,2021
Rochas Rémy,-,-,43,-,-,0,2021
Schultz Nick,-,-,19,-,-,0,2021
Champoussin Clément,-,-,44,-,-,0,2021
Dekker David,-,-,18,-,-,0,2021
