,10-stage,10-gc,10-points,10-kom,11-stage,11-gc,11-points,11-kom,10-youth,11-youth,10-teams,11-teams,team,year
Bauhaus Phil,169,176,29,,185,176,30,,41,42,,,,2018
Boem Nicola,170,174,,,172,170,,,,,,,,2018
Koshevoy Ilia,171,187,40,40,177,185,39,46,,,,,,2018
Richeze Maximiliano,172,175,27,,162,171,26,,,,,,,2018
Ponzi Simone,173,126,77,,123,132,79,,,,,,,2018
Barbin Enrico,174,144,,,118,136,,,,,,,Bardiani - CSF,2018
Bennett Sam,175,186,10,,159,183,10,,,,,,BORA - hansgrohe,2018
Mezgec Luka,176,153,,,146,154,,,,,,,,2018
Nizzolo Giacomo,177,177,14,,DNS,,,,,,,,,2018
Kozontchuk Dmitry,178,181,17,36,163,177,16,41,,,,,,2018
Conti Valerio,179,28,50,33,169,52,51,39,7,9,,,UAE Team Emirates,2018
Ferrari Roberto,180,162,12,,170,163,12,,,,,,,2018
Rota Lorenzo,181,178,,,120,175,,,42,41,,,,2018
Campenaerts Victor,182,156,,,154,158,,,,,,,Lotto Fix All,2018
Brutt Pavel,183,97,23,16,156,111,22,22,,,,,,2018
Andreetta Simone,184,185,11,9,121,182,11,12,45,45,,,Bardiani - CSF,2018
Mohorič Matej,185,132,,,166,135,,,31,32,,,Bahrain Merida Pro Cycling Team,2018
Mareczko Jakub,186,179,22,,175,179,21,,43,43,,,Wilier Triestina - Selle Italia,2018
Ciccone Giulio,187,130,,,122,134,,,30,31,,,Bardiani - CSF,2018
Albanese Vincenzo,188,169,81,,129,168,82,,38,37,,,,2018
Ewan Caleb,189,167,4,,183,172,4,,36,39,,,,2018
Pelucchi Matteo,OTL,,,,,,,,,,,,,2018
Movistar Team,,,,,,,,,,,1,1,,2018
Astana Pro Team,,,,,,,,,,,2,2,,2018
UAE Team Emirates,,,,,,,,,,,3,3,,2018
Cannondale-Drapac Pro Cycling Team,,,,,,,,,,,4,4,,2018
FDJ,,,,,,,,,,,5,7,,2018
Team Sunweb,,,,,,,,,,,6,8,,2018
Bahrain Merida Pro Cycling Team,,,,,,,,,,,7,5,,2018
AG2R La Mondiale,,,,,,,,,,,8,6,,2018
BMC Racing Team,,,,,,,,,,,9,9,,2018
Trek - Segafredo,,,,,,,,,,,10,10,,2018
Team Sky,,,,,,,,,,,11,11,,2018
Team LottoNL-Jumbo,,,,,,,,,,,12,12,,2018
Team Dimension Data,,,,,,,,,,,13,13,,2018
Quick-Step Floors,,,,,,,,,,,14,15,,2018
Lotto Soudal,,,,,,,,,,,15,14,,2018
ORICA-Scott,,,,,,,,,,,16,16,,2018
Team Katusha Alpecin,,,,,,,,,,,17,17,,2018
BORA - hansgrohe,,,,,,,,,,,18,18,,2018
CCC Sprandi Polkowice ,,,,,,,,,,,19,19,,2018
Gazprom-RusVelo,,,,,,,,,,,20,20,,2018
Wilier Triestina - Selle Italia,,,,,,,,,,,21,21,,2018
Bardiani - CSF,,,,,,,,,,,22,22,,2018
