,rider,team,year,age,team_points,key,best-classic-riders,top-gc-riders,top-sprinters,top-time-trial-riders,profile_type,profile_score,profile_vert,scorito,target
130,Mohorič Matej,Lampre - Merida,2016,21,2333,Mohorič Matej-2016,51.0,15.0,,,2.857142857142857,137.0952380952381,2244.285714285714,48.0,34.0
131,Ferrari Roberto,Lampre - Merida,2016,33,2333,Ferrari Roberto-2016,65.0,,121.0,,2.857142857142857,137.0952380952381,2244.285714285714,22.0,184.0
134,Koshevoy Ilia,Lampre - Merida,2016,25,2333,Koshevoy Ilia-2016,,,,,2.857142857142857,137.0952380952381,2244.285714285714,20.0,22.0
137,Nizzolo Giacomo,Trek - Segafredo,2016,27,2178,Nizzolo Giacomo-2016,499.0,35.0,505.0,,2.857142857142857,137.0952380952381,2244.285714285714,483.0,78.0
142,Didier Laurent,Trek - Segafredo,2016,31,2178,Didier Laurent-2016,,,,20.0,2.857142857142857,137.0952380952381,2244.285714285714,72.0,0.0
143,Alafaci Eugenio,Trek - Segafredo,2016,25,2178,Alafaci Eugenio-2016,,,,,2.857142857142857,137.0952380952381,2244.285714285714,72.0,0.0
145,Pirazzi Stefano,Bardiani - CSF,2016,29,1119,Pirazzi Stefano-2016,55.0,121.0,,,2.857142857142857,137.0952380952381,2244.285714285714,31.0,0.0
146,Ruffoni Nicola,Bardiani - CSF,2016,25,1119,Ruffoni Nicola-2016,20.0,,249.6,,2.857142857142857,137.0952380952381,2244.285714285714,76.0,0.0
148,Boem Nicola,Bardiani - CSF,2016,26,1119,Boem Nicola-2016,,,32.0,,2.857142857142857,137.0952380952381,2244.285714285714,18.0,0.0
150,Ciccone Giulio,Bardiani - CSF,2016,21,1119,Ciccone Giulio-2016,,,,,2.857142857142857,137.0952380952381,2244.285714285714,75.0,0.0
151,Andreetta Simone,Bardiani - CSF,2016,22,1119,Andreetta Simone-2016,,,,,2.857142857142857,137.0952380952381,2244.285714285714,10.0,42.0
152,Maestri Mirco,Bardiani - CSF,2016,24,1119,Maestri Mirco-2016,,,,,2.857142857142857,137.0952380952381,2244.285714285714,10.0,4.0
158,Pelucchi Matteo,IAM Cycling,2016,27,1607,Pelucchi Matteo-2016,164.0,,331.0,,2.857142857142857,137.0952380952381,2244.285714285714,26.0,39.0
162,Mareczko Jakub,Wilier - Southeast,2016,22,1423,Mareczko Jakub-2016,20.0,100.0,706.0,,2.857142857142857,137.0952380952381,2244.285714285714,0.0,114.0
163,Martínez Daniel Felipe,Wilier - Southeast,2016,20,1423,Martínez Daniel Felipe-2016,,52.0,,,2.857142857142857,137.0952380952381,2244.285714285714,0.0,0.0
164,Amezqueta Julen,Wilier - Southeast,2016,22,1423,Amezqueta Julen-2016,,25.0,,,2.857142857142857,137.0952380952381,2244.285714285714,24.0,20.0
167,Busato Matteo,Wilier - Southeast,2016,28,1423,Busato Matteo-2016,18.0,,104.0,,2.857142857142857,137.0952380952381,2244.285714285714,74.0,58.0
