,index,21-stage,21-gc,21-points,21-kom,21-youth,team,21-teams,year
99,Costa Rui,100,53,95,,,UAE Team Emirates,9,2019
100,Ledanois Kévin,101,103,,,,Team Arkéa Samsic,18,2019
101,Bouet Maxime,102,74,,,,Team Arkéa Samsic,18,2019
102,Oss Daniel,103,89,36,,,BORA - hansgrohe,5,2019
103,Caruso Damiano,104,58,49,,4,Bahrain Merida,15,2019
104,Ladagnous Matthieu,105,126,,,,Groupama - FDJ,6,2019
105,Reichenbach Sébastien,106,17,,,51,Groupama - FDJ,6,2019
106,Felline Fabio,107,65,81,,,Trek - Segafredo,2,2019
107,Asgreen Kasper,108,122,46,19,62,Deceuninck - Quick Step,12,2019
108,Martin Dan,109,18,110,,49,UAE Team Emirates,9,2019
109,Valgren Michael,110,75,,,,Team Dimension Data,16,2019
110,Kristoff Alexander,111,139,18,,,UAE Team Emirates,9,2019
111,Geschke Simon,112,63,124,,27,CCC Team,14,2019
112,Pauwels Serge,113,77,87,,28,CCC Team,14,2019
113,Monfort Maxime,114,142,77,,,Lotto Soudal,20,2019
114,Sicard Romain,115,80,79,,39,Team Total Direct Energie,21,2019
115,Ourselin Paul,116,95,44,12,,Team Total Direct Energie,21,2019
116,Perez Anthony,117,87,58,,45,"Cofidis, Solutions Crédits",17,2019
117,Rossetto Stéphane,118,100,14,,47,"Cofidis, Solutions Crédits",17,2019
118,Dowsett Alex,119,151,,,,Team Katusha Alpecin,22,2019
119,Politt Nils,120,64,16,9,,Team Katusha Alpecin,22,2019
120,Yates Simon,121,49,22,,6,Mitchelton-Scott,11,2019
121,Moinard Amaël,122,92,,,,Team Arkéa Samsic,18,2019
122,Haga Chad,123,134,,,,Team Sunweb,19,2019
123,Gonçalves José,124,128,,,,Team Katusha Alpecin,22,2019
124,Impey Daryl,125,72,42,,31,Mitchelton-Scott,11,2019
125,Fraile Omar,126,71,76,,42,Astana Pro Team,10,2019
126,Amador Andrey,127,55,56,,,Movistar Team,1,2019
127,Kämna Lennard,128,40,48,7,22,Team Sunweb,19,2019
128,Burghardt Marcus,129,141,102,,,BORA - hansgrohe,5,2019
129,Zakarin Ilnur,130,51,97,,44,Team Katusha Alpecin,22,2019
130,Taaramäe Rein,131,66,,,,Team Total Direct Energie,21,2019
131,Frank Mathias,132,48,104,,58,AG2R La Mondiale,8,2019
132,Gougeard Alexis,133,115,88,,,AG2R La Mondiale,8,2019
133,Cosnefroy Benoît,134,113,117,14,,AG2R La Mondiale,8,2019
134,Verona Carlos,135,105,109,,60,Movistar Team,1,2019
135,Soler Marc,136,37,57,,36,Movistar Team,1,2019
136,Roche Nicolas,137,45,65,,57,Team Sunweb,19,2019
137,Cummings Steve,138,129,,,,Team Dimension Data,16,2019
138,Cort Magnus,139,104,,,,Astana Pro Team,10,2019
139,Mollema Bauke,140,28,69,,,Trek - Segafredo,2,2019
140,Hepburn Michael,141,146,,,,Mitchelton-Scott,11,2019
141,Durbridge Luke,142,109,113,,,Mitchelton-Scott,11,2019
142,Juul-jensen Christopher,143,112,98,,,Mitchelton-Scott,11,2019
143,Wellens Tim,144,94,23,,3,Lotto Soudal,20,2019
144,Devenyns Dries,145,97,96,,,Deceuninck - Quick Step,12,2019
145,Offredo Yoann,146,154,30,,43,Wanty - Gobert Cycling Team,13,2019
146,Konrad Patrick,147,35,90,,,BORA - hansgrohe,5,2019
147,Keukeleire Jens,148,98,125,,,Lotto Soudal,20,2019
148,Gallopin Tony,149,56,35,,41,AG2R La Mondiale,8,2019
149,Kwiatkowski Michał,150,83,92,,,Team INEOS,3,2019
150,Bennett George,151,24,103,,,Team Jumbo-Visma,7,2019
151,Scully Tom,152,135,71,,,EF Education First,4,2019
152,Naesen Oliver,153,68,21,,,AG2R La Mondiale,8,2019
153,Tratnik Jan,154,93,32,,,Bahrain Merida,15,2019
154,Würtz Schmidt Mads,155,117,45,16,61,Team Katusha Alpecin,22,2019
