,index,21-stage,21-gc,21-points,21-kom,21-youth,team,21-teams,year
0,Ewan Caleb,1,132,2,21,,Lotto Soudal,20,2019
1,Groenewegen Dylan,2,145,9,,,Team Jumbo-Visma,7,2019
2,Bonifazio Niccolò,3,137,40,,,Team Total Direct Energie,21,2019
3,Richeze Maximiliano,4,149,51,,,Deceuninck - Quick Step,12,2019
4,Boasson Hagen Edvald,5,76,24,,,Team Dimension Data,16,2019
5,Greipel André,6,144,41,,,Team Arkéa Samsic,18,2019
6,Trentin Matteo,7,52,6,,46,Mitchelton-Scott,11,2019
7,Stuyven Jasper,8,43,7,,,Trek - Segafredo,2,2019
8,Arndt Nikias,9,116,39,,,Team Sunweb,19,2019
9,Sagan Peter,10,82,1,,,BORA - hansgrohe,5,2019
10,Colbrelli Sonny,11,85,4,,,Bahrain Merida,15,2019
11,Haller Marco,12,148,114,,,Team Katusha Alpecin,22,2019
12,Pasqualon Andrea,13,88,15,,,Wanty - Gobert Cycling Team,13,2019
13,Simon Julien,14,108,93,,,"Cofidis, Solutions Crédits",17,2019
14,Houle Hugo,15,91,121,,,Astana Pro Team,10,2019
15,Debusschere Jens,16,153,68,,,Team Katusha Alpecin,22,2019
16,Valverde Alejandro,17,9,53,,17,Movistar Team,1,2019
17,Viviani Elia,18,130,3,,,Deceuninck - Quick Step,12,2019
18,Bonnet William,19,143,126,,,Groupama - FDJ,6,2019
19,Bystrøm Sven Erik,20,110,119,,,UAE Team Emirates,9,2019
20,García Cortina Iván,21,114,54,15,,Bahrain Merida,15,2019
21,Martin Guillaume,22,12,106,,,Wanty - Gobert Cycling Team,13,2019
22,Skujiņš Toms,23,81,61,,32,Trek - Segafredo,2,2019
23,Backaert Frederik,24,120,73,,,Wanty - Gobert Cycling Team,13,2019
24,Küng Stefan,25,96,,,,Groupama - FDJ,6,2019
25,Périchon Pierre-luc,26,57,78,,59,"Cofidis, Solutions Crédits",17,2019
26,Teunissen Mike,27,101,13,,,Team Jumbo-Visma,7,2019
27,Matthews Michael,28,67,5,,,Team Sunweb,19,2019
28,Bernal Egan,29,1,19,1,2,Team INEOS,3,2019
29,Thomas Geraint,30,2,12,,13,Team INEOS,3,2019
30,Castroviejo Jonathan,31,50,,,,Team INEOS,3,2019
31,De Kort Koen,32,125,120,,,Trek - Segafredo,2,2019
32,Mørkøv Michael,33,152,52,,,Deceuninck - Quick Step,12,2019
33,Meurisse Xandro,34,21,26,,19,Wanty - Gobert Cycling Team,13,2019
34,Langeveld Sebastian,35,155,,,,EF Education First,4,2019
35,Kruijswijk Steven,36,3,33,,9,Team Jumbo-Visma,7,2019
36,Izagirre Gorka,37,42,59,,,Astana Pro Team,10,2019
37,Quintana Nairo,38,8,28,,7,Movistar Team,1,2019
38,Clarke Simon,39,61,20,,37,EF Education First,4,2019
39,Urán Rigoberto,40,7,38,,24,EF Education First,4,2019
40,Barguil Warren,41,10,47,,21,Team Arkéa Samsic,18,2019
41,Grellier Fabien,42,121,101,18,,Team Total Direct Energie,21,2019
42,King Ben,43,62,66,,30,Team Dimension Data,16,2019
43,De Plus Laurens,44,23,99,4,25,Team Jumbo-Visma,7,2019
44,Roux Anthony,45,102,,,,Groupama - FDJ,6,2019
45,Mühlberger Gregor,46,25,64,5,33,BORA - hansgrohe,5,2019
46,Buchmann Emanuel,47,4,29,,11,BORA - hansgrohe,5,2019
47,Janse Van Rensburg Reinardt,48,124,,,,Team Dimension Data,16,2019
48,Jansen Amund Grøndahl,49,140,123,23,,Team Jumbo-Visma,7,2019
49,Landa Mikel,50,6,31,,10,Movistar Team,1,2019
50,Erviti Imanol,51,99,116,,,Movistar Team,1,2019
51,Bernard Julien,52,30,86,,20,Trek - Segafredo,2,2019
52,Lampaert Yves,53,133,,,,Deceuninck - Quick Step,12,2019
53,Cherel Mikaël,54,34,,,,AG2R La Mondiale,8,2019
54,Kreuziger Roman,55,16,,,56,Team Dimension Data,16,2019
55,Kluge Roger,56,150,,,,Lotto Soudal,20,2019
56,Poels Wout,57,26,94,,,Team INEOS,3,2019
57,Bettiol Alberto,58,69,91,,,EF Education First,4,2019
58,Schär Michael,59,70,37,,54,CCC Team,14,2019
59,Molard Rudy,60,33,,,,Groupama - FDJ,6,2019
60,Vachon Florian,61,123,122,,,Team Arkéa Samsic,18,2019
61,Lutsenko Alexey,62,19,43,,8,Astana Pro Team,10,2019
62,De Buyst Jasper,63,118,62,,53,Lotto Soudal,20,2019
63,De Gendt Aimé,64,136,85,22,63,Wanty - Gobert Cycling Team,13,2019
64,Delaplace Anthony,65,90,50,,34,Team Arkéa Samsic,18,2019
65,Woods Michael,66,32,75,,15,EF Education First,4,2019
66,Alaphilippe Julian,67,5,10,,14,Deceuninck - Quick Step,12,2019
67,Kangert Tanel,68,27,,,,EF Education First,4,2019
68,Henao Sergio,69,47,115,,,UAE Team Emirates,9,2019
69,Ciccone Giulio,70,31,55,6,16,Trek - Segafredo,2,2019
70,Turgis Anthony,71,131,70,20,,Team Total Direct Energie,21,2019
71,Calmejane Lilian,72,106,60,,40,Team Total Direct Energie,21,2019
72,Gesbert Élie,73,78,82,10,38,Team Arkéa Samsic,18,2019
73,Berhane Natnael,74,86,83,,23,"Cofidis, Solutions Crédits",17,2019
74,De Gendt Thomas,75,60,11,,12,Lotto Soudal,20,2019
75,Teuns Dylan,76,44,27,,29,Bahrain Merida,15,2019
76,Eiking Odd Christian,77,111,72,13,48,Wanty - Gobert Cycling Team,13,2019
77,Van Melsen Kévin,78,138,,,,Wanty - Gobert Cycling Team,13,2019
78,Laengen Vegard Stake,79,107,112,,,UAE Team Emirates,9,2019
79,Wiśniowski Łukasz,80,127,84,,,CCC Team,14,2019
80,Rosskopf Joey,81,73,108,,,CCC Team,14,2019
81,Gaudu David,82,13,118,2,,Groupama - FDJ,6,2019
82,Benoot Tiesj,83,59,17,8,18,Lotto Soudal,20,2019
83,Bardet Romain,84,15,80,,1,AG2R La Mondiale,8,2019
84,Vuillermoz Alexis,85,41,,,,AG2R La Mondiale,8,2019
85,Aru Fabio,86,14,,,,UAE Team Emirates,9,2019
86,Moscon Gianni,87,84,,11,,Team INEOS,3,2019
87,Van Baarle Dylan,88,46,107,,,Team INEOS,3,2019
88,Bak Lars Ytting,89,147,74,,55,Team Dimension Data,16,2019
89,Porte Richie,90,11,67,,,Trek - Segafredo,2,2019
90,Nibali Vincenzo,91,39,25,,5,Bahrain Merida,15,2019
91,Mohorič Matej,92,119,100,17,,Bahrain Merida,15,2019
92,Oliveira Nelson,93,79,105,,,Movistar Team,1,2019
93,Yates Adam,94,29,111,,26,Mitchelton-Scott,11,2019
94,Bilbao Pello,95,54,34,,35,Astana Pro Team,10,2019
95,Herrada Jesús,96,20,63,,52,"Cofidis, Solutions Crédits",17,2019
96,Mas Enric,97,22,89,3,,Deceuninck - Quick Step,12,2019
97,Van Avermaet Greg,98,36,8,,50,CCC Team,14,2019
98,Haig Jack,99,38,,,,Mitchelton-Scott,11,2019
