,index,21-stage,21-gc,21-points,21-kom,21-youth,team,21-teams,year
65,Kwiatkowski Michał,66,57,37,,28,Team Sky,1,2017
66,Calmejane Lilian,67,35,15,7,22,Direct Energie,13,2017
67,Gallopin Tony,68,21,12,,14,Lotto Soudal,9,2017
68,Haller Marco,69,155,72,,,Team Katusha Alpecin,19,2017
69,Chaves Esteban,70,62,97,,,ORICA-Scott,5,2017
70,Zubeldia Haimar,71,52,,,,Trek - Segafredo,3,2017
71,Urán Rigoberto,72,2,9,,13,Cannondale-Drapac Pro Cycling Team,7,2017
72,Moreno Javier,73,119,,,,Bahrain Merida Pro Cycling Team,20,2017
73,Erviti Imanol,74,92,82,,62,Movistar Team,6,2017
74,Roche Nicolas,75,33,34,,36,BMC Racing Team,4,2017
75,Brajkovič Janez,76,45,,,,Bahrain Merida Pro Cycling Team,20,2017
76,Howson Damien,77,88,95,13,,ORICA-Scott,5,2017
77,Vuillermoz Alexis,78,13,87,,12,AG2R La Mondiale,2,2017
78,Talansky Andrew,79,49,,,61,Cannondale-Drapac Pro Cycling Team,7,2017
79,Gogl Michael,80,146,101,24,,Trek - Segafredo,3,2017
80,Poljański Paweł,81,80,,,,BORA - hansgrohe,18,2017
81,Contador Alberto,82,9,30,,9,Trek - Segafredo,3,2017
82,Pantano Jarlinson,83,46,117,,34,Trek - Segafredo,3,2017
83,Martin Dan,84,6,10,,11,Quick-Step Floors,15,2017
84,Moinard Amaël,85,32,122,,,BMC Racing Team,4,2017
85,Laengen Vegard Stake,86,127,75,,,UAE Team Emirates,11,2017
86,Caruso Damiano,87,11,98,,30,BMC Racing Team,4,2017
87,Gastauer Ben,88,37,,,,AG2R La Mondiale,2,2017
88,Sabatini Fabio,89,154,60,,,Quick-Step Floors,15,2017
89,Nieve Mikel,90,14,100,,19,Team Sky,1,2017
90,Maté Luis Ángel,91,56,,,,"Cofidis, Solutions Crédits",16,2017
91,Quintana Nairo,92,12,35,,29,Movistar Team,6,2017
92,Ulissi Diego,93,39,41,,35,UAE Team Emirates,11,2017
93,Domont Axel,94,68,,,,AG2R La Mondiale,2,2017
94,Pichon Laurent,95,125,84,,,Fortuneo - Oscaro,8,2017
95,Hansen Adam,96,113,94,,,Lotto Soudal,9,2017
96,Wyss Danilo,97,81,90,,,BMC Racing Team,4,2017
97,Irizar Markel,98,135,,,,Trek - Segafredo,3,2017
98,Kišerlovski Robert,99,31,,,60,Team Katusha Alpecin,19,2017
99,Hollenstein Reto,100,150,91,,,Team Katusha Alpecin,19,2017
100,Pauwels Serge,101,19,71,,10,Team Dimension Data,21,2017
101,Knees Christian,102,144,103,,,Team Sky,1,2017
102,Albasini Michael,103,98,77,,,ORICA-Scott,5,2017
103,Rowe Luke,104,167,130,,,Team Sky,1,2017
104,Impey Daryl,105,47,51,,46,ORICA-Scott,5,2017
105,Buchmann Emanuel,106,15,128,3,,BORA - hansgrohe,18,2017
106,Grivko Andrey,107,120,113,,,Astana Pro Team,10,2017
107,Bouet Maxime,108,55,45,,49,Fortuneo - Oscaro,8,2017
108,Brown Nathan,109,43,73,,38,Cannondale-Drapac Pro Cycling Team,7,2017
109,Sepúlveda Eduardo,110,65,,,,Fortuneo - Oscaro,8,2017
110,Đurasek Kristijan, 111 , 50 ,,,,UAE Team Emirates,11,2017
111,Lammertink Maurits,112,75,108,,,Team Katusha Alpecin,19,2017
112,Machado Tiago,113,74,,,,Team Katusha Alpecin,19,2017
113,Frank Mathias,114,30,119,,,AG2R La Mondiale,2,2017
114,Kreuziger Roman,115,24,81,,,ORICA-Scott,5,2017
115,Gruzdev Dmitriy,116,115,,,,Astana Pro Team,10,2017
116,Brambilla Gianluca,117,53,124,,,Quick-Step Floors,15,2017
117,Sinkeldam Ramon,118,148,74,,,Team Sunweb,12,2017
118,Laporte Christophe,119,133,76,21,,"Cofidis, Solutions Crédits",16,2017
119,Lemoine Cyril,120,128,,,,"Cofidis, Solutions Crédits",16,2017
120,Teunissen Mike,121,129,115,20,,Team Sunweb,12,2017
121,Gène Yohann,122,134,85,,,Direct Energie,13,2017
122,Chavanel Sylvain,123,25,20,,59,Direct Energie,13,2017
123,Smith Dion,124,124,42,19,,Wanty - Groupe Gobert,14,2017
124,Tulik Angélo,125,89,,,,Direct Energie,13,2017
125,Zabel Rick,126,145,93,23,,Team Katusha Alpecin,19,2017
126,Bak Lars Ytting,127,123,120,,,Lotto Soudal,9,2017
127,De Gendt Thomas,128,51,6,,3,Lotto Soudal,9,2017
128,Edet Nicolas,129,76,65,,58,"Cofidis, Solutions Crédits",16,2017
129,Schär Michael,130,72,69,,,BMC Racing Team,4,2017
130,Navarro Daniel,131,27,62,,18,"Cofidis, Solutions Crédits",16,2017
131,Atapuma Darwin,132,41,43,,4,UAE Team Emirates,11,2017
132,Pasqualon Andrea,133,137,107,,,Wanty - Groupe Gobert,14,2017
133,Wagner Robert,134,164,,,,Team LottoNL-Jumbo,17,2017
134,Curvers Roy,135,142,116,,,Team Sunweb,12,2017
135,Hayman Mathew,136,151,,,,ORICA-Scott,5,2017
136,Eisel Bernhard,137,153,,,,Team Dimension Data,21,2017
137,Thwaites Scott,138,107,131,,,Team Dimension Data,21,2017
138,Quéméneur Perrig,139,106,83,,41,Direct Energie,13,2017
139,Herrada Jesús,140,97,110,,47,Movistar Team,6,2017
140,Vermote Julien,141,139,102,,,Quick-Step Floors,15,2017
141,Castroviejo Jonathan,142,60,133,,,Movistar Team,6,2017
142,Lutsenko Alexey,143,71,104,9,23,Astana Pro Team,10,2017
143,Rolland Pierre,144,54,,,52,Cannondale-Drapac Pro Cycling Team,7,2017
144,Timmer Albert,145,157,96,,,Team Sunweb,12,2017
145,Bono Matteo,146,111,,,,UAE Team Emirates,11,2017
146,Bodnar Maciej,147,116,28,,,BORA - hansgrohe,18,2017
147,De Marchi Alessandro,148,99,58,,25,BMC Racing Team,4,2017
148,Leezer Tom,149,166,,,,Team LottoNL-Jumbo,17,2017
149,Grmay Tsgabu,150,73,,,44,Bahrain Merida Pro Cycling Team,20,2017
150,Sénéchal Florian,151,161,,27,,"Cofidis, Solutions Crédits",16,2017
151,Martin Tony,152,101,50,,,Team Katusha Alpecin,19,2017
152,Degenkolb John,153,121,18,,,Trek - Segafredo,3,2017
153,De Kort Koen,154,70,99,,48,Trek - Segafredo,3,2017
154,Štybar Zdeněk,155,102,38,,,Quick-Step Floors,15,2017
155,Politt Nils,156,95,40,17,43,Team Katusha Alpecin,19,2017
156,Burghardt Marcus,157,131,86,,,BORA - hansgrohe,18,2017
157,Voeckler Thomas,158,91,61,,45,Direct Energie,13,2017
158,Sicard Romain,159,66,57,,26,Direct Energie,13,2017
159,Venter Jaco,160,162,123,,,Team Dimension Data,21,2017
160,Cummings Steve,161,141,105,,17,Team Dimension Data,21,2017
161,Martens Paul,162,82,132,,,Team LottoNL-Jumbo,17,2017
162,Roglič Primož,163,38,29,,2,Team LottoNL-Jumbo,17,2017
163,Geschke Simon,164,64,49,,57,Team Sunweb,12,2017
164,Ten Dam Laurens,165,67,,,,Team Sunweb,12,2017
165,Claeys Dimitri,166,163,,,,"Cofidis, Solutions Crédits",16,2017
166,Latour Pierre,167,29,125,6,,AG2R La Mondiale,2,2017
