,index,21-stage,21-gc,21-points,21-kom,21-youth,team,21-teams,year
0,Groenewegen Dylan,1,156,7,25,,Team LottoNL-Jumbo,17,2017
1,Greipel André,2,149,2,,,Lotto Soudal,9,2017
2,Boasson Hagen Edvald,3,78,3,,,Team Dimension Data,21,2017
3,Bouhanni Nacer,4,138,13,,,"Cofidis, Solutions Crédits",16,2017
4,Kristoff Alexander,5,130,4,,,Team Katusha Alpecin,19,2017
5,Božič Borut,6,160,64,,,Bahrain Merida Pro Cycling Team,20,2017
6,Cimolai Davide,7,152,54,,,FDJ,22,2017
7,Périchon Pierre-luc,8,42,47,,56,Fortuneo - Oscaro,8,2017
8,Selig Rüdiger,9,165,32,,,BORA - hansgrohe,18,2017
9,Bennati Daniele,10,104,46,,,Movistar Team,6,2017
10,Matthews Michael,11,69,1,,16,Team Sunweb,12,2017
11,Colbrelli Sonny,12,122,5,,,Bahrain Merida Pro Cycling Team,20,2017
12,Vanspeybrouck Pieter,13,100,52,,,Wanty - Groupe Gobert,14,2017
13,Boudat Thomas,14,140,53,22,,Direct Energie,13,2017
14,Roelandts Jürgen,15,136,70,,,Lotto Soudal,9,2017
15,Le Gac Olivier,16,158,,26,,FDJ,22,2017
16,Swift Ben,17,83,19,,,UAE Team Emirates,11,2017
17,Bauer Jack,18,105,39,,,Quick-Step Floors,15,2017
18,Phinney Taylor,19,159,66,,42,Cannondale-Drapac Pro Cycling Team,7,2017
19,Vachon Florian,20,103,121,,,Fortuneo - Oscaro,8,2017
20,Van Baarle Dylan,21,77,55,10,37,Cannondale-Drapac Pro Cycling Team,7,2017
21,Kozhatayev Bakhtiyar,22,93,,15,,Astana Pro Team,10,2017
22,Marcato Marco,23,96,59,,,UAE Team Emirates,11,2017
23,Janse Van Rensburg Reinardt,24,118,112,,,Team Dimension Data,21,2017
24,Küng Stefan,25,79,44,11,,BMC Racing Team,4,2017
25,Mccarthy Jay,26,94,79,16,,BORA - hansgrohe,18,2017
26,Arndt Nikias,27,84,31,,,Team Sunweb,12,2017
27,Arashiro Yukiya,28,109,,,,Bahrain Merida Pro Cycling Team,20,2017
28,Naesen Oliver,29,63,126,,,AG2R La Mondiale,2,2017
29,Bardet Romain,30,3,14,,6,AG2R La Mondiale,2,2017
30,Gesbert Élie,31,85,26,12,39,Fortuneo - Oscaro,8,2017
31,Gautier Cyril,32,48,106,,21,AG2R La Mondiale,2,2017
32,Bettiol Alberto,33,90,80,14,,Cannondale-Drapac Pro Cycling Team,7,2017
33,Yates Simon,34,7,23,1,55,ORICA-Scott,5,2017
34,Bole Grega,35,143,111,,,Bahrain Merida Pro Cycling Team,20,2017
35,Keukeleire Jens,36,59,33,,,ORICA-Scott,5,2017
36,Bevin Patrick,37,114,,,,Cannondale-Drapac Pro Cycling Team,7,2017
37,Minnaard Marco,38,40,109,,,Wanty - Groupe Gobert,14,2017
38,Sütterlin Jasha,39,108,118,18,,Movistar Team,6,2017
39,Van Keirsbulck Guillaume,40,147,68,,50,Wanty - Groupe Gobert,14,2017
40,Backaert Frederik,41,132,27,,51,Wanty - Groupe Gobert,14,2017
41,Benoot Tiesj,42,20,25,4,20,Lotto Soudal,9,2017
42,Amador Andrey,43,87,,,,Movistar Team,6,2017
43,Hardy Romain,44,26,56,,40,Fortuneo - Oscaro,8,2017
44,Petit Adrien,45,126,67,,,Direct Energie,13,2017
45,Clarke Simon,46,86,,,,Cannondale-Drapac Pro Cycling Team,7,2017
46,Barguil Warren,47,10,11,,1,Team Sunweb,12,2017
47,Landa Mikel,48,4,22,,7,Team Sky,1,2017
48,Simon Julien,49,117,88,,32,"Cofidis, Solutions Crédits",16,2017
49,Van Avermaet Greg,50,58,21,,54,BMC Racing Team,4,2017
50,Mollema Bauke,51,17,24,,8,Trek - Segafredo,3,2017
51,Feillu Brice,52,16,127,,24,Fortuneo - Oscaro,8,2017
52,Zeits Andrey,53,44,,,,Astana Pro Team,10,2017
53,Martin Guillaume,54,23,63,5,33,Wanty - Groupe Gobert,14,2017
54,Offredo Yoann,55,110,48,,,Wanty - Groupe Gobert,14,2017
55,Degand Thomas,56,34,,,,Wanty - Groupe Gobert,14,2017
56,Molard Rudy,57,36,114,,,FDJ,22,2017
57,Aru Fabio,58,5,16,,15,Astana Pro Team,10,2017
58,Henao Sergio,59,28,129,,,Team Sky,1,2017
59,Meintjes Louis,60,8,36,2,31,UAE Team Emirates,11,2017
60,Bakelants Jan,61,22,17,,27,AG2R La Mondiale,2,2017
61,Valgren Michael,62,61,92,8,,Astana Pro Team,10,2017
62,Betancur Carlos,63,18,78,,53,Movistar Team,6,2017
63,Kiryienka Vasil,64,112,89,,,Team Sky,1,2017
64,Froome Chris,65,1,8,,5,Team Sky,1,2017
