,index,21-stage,21-gc,21-points,21-youth,21-kom,team,21-teams,year
135,Craddock Lawson,136,145,,,,Team EF Education First-Drapac p/b Cannondale,20,2018
136,Van Keirsbulck Guillaume,137,123,28,57,,Wanty - Groupe Gobert,19,2018
137,Moinard Amaël,138,48,,,,Team Fortuneo - Samsic,14,2018
138,Schär Michael,139,90,41,,,BMC Racing Team,8,2018
139,Phinney Taylor,140,136,61,,,Team EF Education First-Drapac p/b Cannondale,20,2018
140,Perez Anthony,141,85,82,29,,"Cofidis, Solutions Crédits",12,2018
141,Mühlberger Gregor,142,76,50,52,11,BORA - hansgrohe,18,2018
142,Pöstlberger Lukas,143,132,58,,,BORA - hansgrohe,18,2018
143,Dillier Silvan,144,83,56,54,,AG2R La Mondiale,7,2018
144,Gaudin Damien,145,140,30,59,,Direct Energie,16,2018
