,index,21-stage,21-gc,21-points,21-youth,21-kom,team,21-teams,year
0,Kristoff Alexander,1,114,2,,,UAE Team Emirates,11,2018
1,Degenkolb John,2,111,4,,,Trek - Segafredo,13,2018
2,Démare Arnaud,3,141,3,,,Groupama - FDJ,15,2018
3,Boasson Hagen Edvald,4,84,16,,,Team Dimension Data,21,2018
4,Laporte Christophe,5,124,11,,,"Cofidis, Solutions Crédits",12,2018
5,Richeze Maximiliano,6,135,27,,,Quick-Step Floors,9,2018
6,Colbrelli Sonny,7,109,9,,,Bahrain Merida Pro Cycling Team,2,2018
7,Sagan Peter,8,71,1,62,,BORA - hansgrohe,18,2018
8,Pasqualon Andrea,9,95,7,,,Wanty - Groupe Gobert,19,2018
9,De Buyst Jasper,10,142,63,,24,Lotto Soudal,22,2018
10,Dupont Timothy,11,131,26,,,Wanty - Groupe Gobert,19,2018
11,Boudat Thomas,12,89,13,,14,Direct Energie,16,2018
12,Vanmarcke Sep,13,115,94,,,Team EF Education First-Drapac p/b Cannondale,20,2018
13,Cort Magnus,14,68,36,37,10,Astana Pro Team,5,2018
14,Naesen Oliver,15,66,111,,,AG2R La Mondiale,7,2018
15,Bennati Daniele,16,104,74,,,Movistar Team,1,2018
16,Arndt Nikias,17,67,79,,,Team Sunweb,6,2018
17,Theuns Edward,18,88,,,,Team Sunweb,6,2018
18,Hayman Mathew,19,108,76,,,Mitchelton-Scott,10,2018
19,Roosen Timo,20,137,,,22,Team LottoNL-Jumbo,4,2018
20,Impey Daryl,21,46,44,,,Mitchelton-Scott,10,2018
21,Caruso Damiano,22,20,25,21,,BMC Racing Team,8,2018
22,Stuyven Jasper,23,63,24,42,,Trek - Segafredo,13,2018
23,Smith Dion,24,97,52,41,16,Wanty - Groupe Gobert,19,2018
24,Cousin Jérôme,25,93,32,,,Direct Energie,16,2018
25,Valverde Alejandro,26,14,12,33,,Movistar Team,1,2018
26,Pichon Laurent,27,98,29,,,Team Fortuneo - Samsic,14,2018
27,Pozzovivo Domenico,28,18,49,30,,Bahrain Merida Pro Cycling Team,2,2018
28,Roglič Primož,29,4,17,6,,Team LottoNL-Jumbo,4,2018
29,Lampaert Yves,30,80,20,,,Quick-Step Floors,9,2018
30,Latour Pierre,31,13,38,48,1,AG2R La Mondiale,7,2018
31,Minnaard Marco,32,64,89,53,,Wanty - Groupe Gobert,19,2018
32,Martin Guillaume,33,21,104,,3,Wanty - Groupe Gobert,19,2018
33,Kragh Andersen Søren,34,52,88,,7,Team Sunweb,6,2018
34,Offredo Yoann,35,91,91,55,,Wanty - Groupe Gobert,19,2018
35,Dumoulin Tom,36,2,15,5,,Team Sunweb,6,2018
36,Küng Stefan,37,53,99,,8,BMC Racing Team,8,2018
37,Calmejane Lilian,38,30,19,22,,Direct Energie,16,2018
38,Kochetkov Pavel,39,61,,,,Team Katusha Alpecin,17,2018
39,Kruijswijk Steven,40,5,34,10,,Team LottoNL-Jumbo,4,2018
40,Zakarin Ilnur,41,9,71,39,,Team Katusha Alpecin,17,2018
41,Haga Chad,42,72,101,,,Team Sunweb,6,2018
42,Amador Andrey,43,50,118,50,,Movistar Team,1,2018
43,Bauer Jack,44,121,102,63,,Mitchelton-Scott,10,2018
44,Landa Mikel,45,7,55,15,,Movistar Team,1,2018
45,Gesink Robert,46,31,78,27,,Team LottoNL-Jumbo,4,2018
46,Simon Julien,47,101,112,,,"Cofidis, Solutions Crédits",12,2018
47,Van Avermaet Greg,48,28,6,23,,BMC Racing Team,8,2018
48,Hepburn Michael,49,117,108,,,Mitchelton-Scott,10,2018
49,Bodnar Maciej,50,122,42,,,BORA - hansgrohe,18,2018
50,Barguil Warren,51,17,65,2,,Team Fortuneo - Samsic,14,2018
51,Quintana Nairo,52,10,45,8,,Movistar Team,1,2018
52,Erviti Imanol,53,77,116,,,Movistar Team,1,2018
53,Bardet Romain,54,6,37,14,,AG2R La Mondiale,7,2018
54,Nieve Mikel,55,23,98,11,,Mitchelton-Scott,10,2018
55,Tolhoek Antwan,56,37,109,,6,Team LottoNL-Jumbo,4,2018
56,Gerrans Simon,57,107,,,,BMC Racing Team,8,2018
57,Molard Rudy,58,38,86,17,,Groupama - FDJ,15,2018
58,Castroviejo Jonathan,59,70,122,,,Team Sky,3,2018
59,Vermote Julien,60,75,70,,,Team Dimension Data,21,2018
60,Jungels Bob,61,11,47,26,,Quick-Step Floors,9,2018
61,Ferrari Roberto,62,138,,,,UAE Team Emirates,11,2018
62,Đurasek Kristijan, 63 , 40 , 87 , 31 ,,UAE Team Emirates,11,2018
63,Guarnieri Jacopo,64,144,95,,,Groupama - FDJ,15,2018
64,Bernal Egan,65,15,92,36,2,Team Sky,3,2018
65,Turgis Anthony,66,116,83,,18,"Cofidis, Solutions Crédits",12,2018
66,Thomas Geraint,67,1,8,4,,Team Sky,3,2018
67,Martin Dan,68,8,10,7,,UAE Team Emirates,11,2018
68,Froome Chris,69,3,22,19,,Team Sky,3,2018
69,Burghardt Marcus,70,92,73,,,BORA - hansgrohe,18,2018
70,Kangert Tanel,71,16,51,9,,Astana Pro Team,5,2018
71,Bouet Maxime,72,42,105,,,Team Fortuneo - Samsic,14,2018
72,Soler Marc,73,62,66,61,9,Movistar Team,1,2018
73,De Gendt Thomas,74,65,18,25,,Lotto Soudal,22,2018
74,Degand Thomas,75,54,110,,,Wanty - Groupe Gobert,19,2018
75,Haussler Heinrich,76,125,,,,Bahrain Merida Pro Cycling Team,2,2018
76,Slagter Tom-jelte,77,59,69,44,,Team Dimension Data,21,2018
77,Marczyński Tomasz,78,103,,,,Lotto Soudal,22,2018
78,Rowe Luke,79,128,,,,Team Sky,3,2018
79,Poels Wout,80,58,,,,Team Sky,3,2018
80,Martens Paul,81,81,,,,Team LottoNL-Jumbo,4,2018
81,Martínez Daniel Felipe,82,36,100,43,5,Team EF Education First-Drapac p/b Cannondale,20,2018
82,Navarro Daniel,83,45,68,,,"Cofidis, Solutions Crédits",12,2018
83,Grellier Fabien,84,120,31,45,19,Direct Energie,16,2018
84,Ludvigsson Tobias,85,74,106,,,Groupama - FDJ,15,2018
85,Janse Van Rensburg Reinardt,86,110,81,,,Team Dimension Data,21,2018
86,Frank Mathias,87,55,,51,,AG2R La Mondiale,7,2018
87,Gaudu David,88,34,85,13,4,Groupama - FDJ,15,2018
88,Fuglsang Jakob,89,12,77,47,,Astana Pro Team,5,2018
89,Ledanois Kévin,90,96,90,56,15,Team Fortuneo - Samsic,14,2018
90,Rolland Pierre,91,27,64,16,,Team EF Education First-Drapac p/b Cannondale,20,2018
91,Koren Kristijan,92,102,107,,,Bahrain Merida Pro Cycling Team,2,2018
92,Poljański Paweł,93,94,75,,,BORA - hansgrohe,18,2018
93,Clarke Simon,94,100,,,,Team EF Education First-Drapac p/b Cannondale,20,2018
94,Hansen Jesper,95,56,119,,,Astana Pro Team,5,2018
95,Van Garderen Tejay,96,32,114,,,BMC Racing Team,8,2018
96,De Kort Koen,97,78,93,,,Trek - Segafredo,13,2018
97,Boswell Ian,98,79,,,,Team Katusha Alpecin,17,2018
98,Yates Adam,99,29,33,18,,Mitchelton-Scott,10,2018
99,Edet Nicolas,100,43,23,,,"Cofidis, Solutions Crédits",12,2018
100,Sinkeldam Ramon,101,134,,,,Groupama - FDJ,15,2018
101,Geschke Simon,102,25,84,,,Team Sunweb,6,2018
102,Thomson Jay Robert,103,143,,,,Team Dimension Data,21,2018
103,Jansen Amund Grøndahl,104,139,,,23,Team LottoNL-Jumbo,4,2018
104,Alaphilippe Julian,105,33,5,1,,Quick-Step Floors,9,2018
105,Chavanel Sylvain,106,39,39,40,,Direct Energie,16,2018
106,Ten Dam Laurens,107,51,115,,,Team Sunweb,6,2018
107,Izagirre Gorka,108,24,48,20,,Bahrain Merida Pro Cycling Team,2,2018
108,Terpstra Niki,109,119,54,58,,Quick-Step Floors,9,2018
109,Majka Rafał,110,19,14,3,,BORA - hansgrohe,18,2018
110,Gesbert Élie,111,86,60,28,12,Team Fortuneo - Samsic,14,2018
111,Vachon Florian,112,99,,,,Team Fortuneo - Samsic,14,2018
112,Valgren Michael,113,44,46,49,,Astana Pro Team,5,2018
113,Le Gac Olivier,114,127,103,,20,Groupama - FDJ,15,2018
114,Atapuma Darwin,115,69,121,32,,UAE Team Emirates,11,2018
115,Durbridge Luke,116,118,113,,,Mitchelton-Scott,10,2018
116,Scully Tom,117,129,97,46,,Team EF Education First-Drapac p/b Cannondale,20,2018
117,Hardy Romain,118,105,117,,,Team Fortuneo - Samsic,14,2018
118,Oss Daniel,119,112,43,,,BORA - hansgrohe,18,2018
119,Sicard Romain,120,73,72,,,Direct Energie,16,2018
120,Vichot Arthur,121,41,80,60,,Groupama - FDJ,15,2018
121,Pellizotti Franco,122,60,120,,,Bahrain Merida Pro Cycling Team,2,2018
122,Gogl Michael,123,113,,,17,Trek - Segafredo,13,2018
123,Fraile Omar,124,57,35,38,,Astana Pro Team,5,2018
124,Herrada Jesús,125,47,59,24,,"Cofidis, Solutions Crédits",12,2018
125,Claeys Dimitri,126,130,53,,,"Cofidis, Solutions Crédits",12,2018
126,Marcato Marco,127,126,,,,UAE Team Emirates,11,2018
127,Sutherland Rory,128,106,123,,,UAE Team Emirates,11,2018
128,Mollema Bauke,129,26,21,12,,Trek - Segafredo,13,2018
129,Skujiņš Toms,130,82,67,35,,Trek - Segafredo,13,2018
130,Izagirre Ion,131,22,40,34,,Bahrain Merida Pro Cycling Team,2,2018
131,Troia Oliviero,132,133,,,21,UAE Team Emirates,11,2018
132,Bernard Julien,133,35,62,,,Trek - Segafredo,13,2018
133,Politt Nils,134,87,57,,13,Team Katusha Alpecin,17,2018
134,Kwiatkowski Michał,135,49,96,,,Team Sky,3,2018
