,rider,scorito,year
39,Bernal Egan,1188.0,2021
32,Martínez Daniel Felipe,562.0,2021
24,Caruso Damiano,519.0,2021
50,Sagan Peter,497.0,2021
10,Vlasov Aleksandr,495.0,2021
0,Ganna Filippo,421.0,2021
9,Moscon Gianni,391.0,2021
36,Yates Simon,376.0,2021
3,Almeida João,372.0,2021
142,Cimolai Davide,363.0,2021
115,Bouchard Geoffrey,354.0,2021
48,Gaviria Fernando,302.0,2021
107,Martin Dan,292.0,2021
12,Castroviejo Jonathan,285.0,2021
88,Viviani Elia,275.0,2021
79,Narváez Jhonatan,269.0,2021
83,Puccio Salvatore,265.0,2021
75,Nizzolo Giacomo,258.0,2021
31,Sivakov Pavel,256.0,2021
2,Foss Tobias,253.0,2021
6,Evenepoel Remco,227.0,2021
95,Vendrame Andrea,226.0,2021
34,Carthy Hugh,220.0,2021
90,Bardet Romain,220.0,2021
111,Merlier Tim,204.0,2021
153,Naesen Lawrence,186.0,2021
94,Valter Attila,185.0,2021
139,De Bondt Dries,168.0,2021
106,Ciccone Giulio,167.0,2021
103,Buchmann Emanuel,166.0,2021
1,Affini Edoardo,162.0,2021
146,Ewan Caleb,160.0,2021
51,Bennett George,154.0,2021
147,Oldani Stefano,152.0,2021
56,Arndt Nikias,152.0,2021
179,Fortunato Lorenzo,142.0,2021
22,Tratnik Jan,141.0,2021
11,Bettiol Alberto,140.0,2021
16,Ulissi Diego,136.0,2021
124,Gougeard Alexis,132.0,2021
14,Bodnar Maciej,132.0,2021
7,Walscheid Max,128.0,2021
84,Covi Alessandro,128.0,2021
54,Mäder Gino,124.0,2021
23,Campenaerts Victor,122.0,2021
130,Pasqualon Andrea,122.0,2021
114,Consonni Simone,116.0,2021
101,Albanese Vincenzo,115.0,2021
43,Großschartner Felix,114.0,2021
151,Groenewegen Dylan,114.0,2021
15,Oliveira Nelson,112.0,2021
65,Molano Juan Sebastián,110.0,2021
117,Moschetti Matteo,110.0,2021
61,Gallopin Tony,106.0,2021
86,Warbasse Larry,106.0,2021
140,Bidard François,106.0,2021
119,Vermeersch Gianni,106.0,2021
71,Champoussin Clément,106.0,2021
4,Cavagna Rémi,105.0,2021
170,Fiorelli Filippo,104.0,2021
89,Aleotti Giovanni,100.0,2021
108,Benedetti Cesare,100.0,2021
156,Gavazzi Francesco,100.0,2021
105,Oss Daniel,100.0,2021
92,Fabbro Matteo,100.0,2021
18,De Marchi Alessandro,98.0,2021
138,Dombrowski Joe,96.0,2021
87,Vervaeke Louis,96.0,2021
53,Mollema Bauke,95.0,2021
60,Schmid Mauro,92.0,2021
74,Bouwman Koen,90.0,2021
28,Formolo Davide,88.0,2021
82,Hermans Quinten,86.0,2021
163,Van Der Hoorn Taco,86.0,2021
35,Bilbao Pello,86.0,2021
133,Kanter Max,84.0,2021
57,Riesebeek Oscar,84.0,2021
55,Soler Marc,80.0,2021
67,Vanhoucke Harm,78.0,2021
155,Pedrero Antonio,74.0,2021
8,Brändle Matthias,72.0,2021
64,Bevin Patrick,72.0,2021
154,Guglielmi Simon,71.0,2021
127,Edet Nicolas,68.0,2021
17,Kluge Roger,66.0,2021
178,Belletti Manuel,62.0,2021
81,Wiśniowski Łukasz,60.0,2021
131,Lafay Victor,60.0,2021
149,Krieger Alexander,60.0,2021
80,Goossens Kobe,60.0,2021
77,Van Den Berg Lars,57.0,2021
162,Tesfatsion Natnael,56.0,2021
100,Taaramäe Rein,54.0,2021
76,Landa Mikel,52.0,2021
37,Mohorič Matej,50.0,2021
148,Mosca Jacopo,48.0,2021
145,Cataldo Dario,48.0,2021
144,Badilatti Matteo,47.0,2021
102,Hamilton Chris,44.0,2021
134,Hirt Jan,44.0,2021
182,Niv Guy,44.0,2021
159,Lindeman Bert-jan,42.0,2021
20,Pozzovivo Domenico,42.0,2021
78,Frankiny Kilian,42.0,2021
13,Dowsett Alex,40.0,2021
45,Roche Nicolas,40.0,2021
176,Battaglin Enrico,40.0,2021
128,De Buyst Jasper,40.0,2021
113,Janssens Jimmy,40.0,2021
62,Leysen Senne,40.0,2021
40,Seigle Romain,39.0,2021
47,Molard Rudy,39.0,2021
66,Reichenbach Sébastien,39.0,2021
109,Duchesne Antoine,39.0,2021
161,Brambilla Gianluca,38.0,2021
152,Valls Rafael,38.0,2021
96,Arashiro Yukiya,38.0,2021
29,Sobrero Matteo,36.0,2021
143,Petilli Simone,36.0,2021
68,Juul-jensen Christopher,34.0,2021
181,Tagliani Filippo,33.0,2021
160,Rivi Samuele,32.0,2021
173,Visconti Giovanni,32.0,2021
136,Carboni Giovanni,32.0,2021
49,Nibali Vincenzo,32.0,2021
5,Van Emden Jos,30.0,2021
27,Battistella Samuele,30.0,2021
44,Izagirre Gorka,30.0,2021
19,Felline Fabio,30.0,2021
141,Zana Filippo,28.0,2021
126,Marczyński Tomasz,26.0,2021
99,Torres Albert,26.0,2021
168,Ravasi Edward,26.0,2021
93,De Gendt Thomas,26.0,2021
104,Neilands Krists,26.0,2021
63,Richeze Maximiliano,24.0,2021
118,Schultz Nick,24.0,2021
26,Honoré Mikkel Frølich,24.0,2021
169,Nieve Mikel,22.0,2021
164,Pellaud Simon,22.0,2021
21,Conti Valerio,22.0,2021
150,Dina Márton,22.0,2021
120,Ravanelli Simone,22.0,2021
121,Christian Mark,22.0,2021
158,Minali Riccardo,22.0,2021
110,Keisse Iljo,22.0,2021
157,Sepúlveda Eduardo,18.0,2021
73,Guerreiro Ruben,18.0,2021
69,Denz Nico,16.0,2021
112,Storer Michael,16.0,2021
42,Van Den Berg Julius,12.0,2021
166,Berhane Natnael,10.0,2021
116,Pronskiy Vadim,10.0,2021
58,Meyer Cameron,10.0,2021
180,Viviani Attilio,10.0,2021
46,Carr Simon,10.0,2021
97,Caicedo Jonathan Klever,10.0,2021
98,Scotson Callum,10.0,2021
41,Van Garderen Tejay,10.0,2021
165,Kreder Wesley,10.0,2021
183,Sánchez Luis León,10.0,2021
70,Keukeleire Jens,10.0,2021
122,Rochas Rémy,10.0,2021
59,Kangert Tanel,10.0,2021
30,Hepburn Michael,10.0,2021
129,Sabatini Fabio,10.0,2021
172,Rubio Einer Augusto,8.0,2021
25,Dekker David,6.0,2021
123,Ponomar Andrii,6.0,2021
167,Marengo Umberto,4.0,2021
52,Tejada Harold,4.0,2021
171,Zoccarato Samuele,2.0,2021
125,Knox James,0.0,2021
72,Hindley Jai,0.0,2021
132,De Kort Koen,0.0,2021
174,Cepeda Jefferson Alexander,0.0,2021
175,Gabburo Davide,0.0,2021
38,Masnada Fausto,0.0,2021
177,Venchiarutti Nicola,0.0,2021
91,Serry Pieter,0.0,2021
135,Ghebreigzabhier Amanuel,0.0,2021
85,Martens Paul,0.0,2021
137,Villella Davide,0.0,2021
33,Jorgenson Matteo,0.0,2021
