,index,21-stage,21-gc,21-points,21-youth,21-kom,team,21-teams,year
0,Greipel André,1,133,4,,,Lotto Soudal,21,2016
1,Sagan Peter,2,95,1,57,,Tinkoff,6,2016
2,Kristoff Alexander,3,149,5,,,Team Katusha ,9,2016
3,Boasson Hagen Edvald,4,109,14,,,Team Dimension Data,22,2016
4,Matthews Michael,5,110,3,72,,ORICA-BikeExchange,12,2016
5,Stuyven Jasper,6,99,24,49,14,Trek - Segafredo,7,2016
6,Navardauskas Ramūnas,7,134,86,,,Cannondale-Drapac Pro Cycling Team,19,2016
7,Laporte Christophe,8,157,16,,25,"Cofidis, Solutions Crédits",18,2016
8,Bennett Sam,9,174,98,,,Bora - Argon 18,15,2016
9,Janse Van Rensburg Reinardt,10,115,97,,,Team Dimension Data,22,2016
10,Cimolai Davide,11,168,71,,,Lampre - Merida,10,2016
11,Mclay Daniel,12,170,28,,28,Fortuneo - Vital Concept,20,2016
12,Howard Leigh,13,172,67,,,IAM Cycling,8,2016
13,Richeze Maximiliano,14,144,30,,,Etixx - Quick Step,13,2016
14,Roux Anthony,15,63,131,,,FDJ,11,2016
15,Degenkolb John,16,148,32,,,Team Giant - Alpecin,14,2016
16,Sinkeldam Ramon,17,143,,,,Team Giant - Alpecin,14,2016
17,Vanmarcke Sep,18,104,55,38,,Team LottoNL-Jumbo,16,2016
18,Valgren Michael,19,77,106,,11,Tinkoff,6,2016
19,Valverde Alejandro,20,6,20,19,,Movistar Team,1,2016
20,Grivko Andrey,21,86,81,50,,Astana Pro Team,5,2016
21,Kreuziger Roman,22,10,27,29,,Tinkoff,6,2016
22,Soupe Geoffrey,23,142,,,,"Cofidis, Solutions Crédits",18,2016
23,Gatto Oscar,24,156,,,,Tinkoff,6,2016
24,Martin Dan,25,9,18,61,,Etixx - Quick Step,13,2016
25,Guarnieri Jacopo,26,165,119,,,Team Katusha ,9,2016
26,Vichot Arthur,27,78,,59,,FDJ,11,2016
27,Quintana Nairo,28,3,41,35,,Movistar Team,1,2016
28,Roelandts Jürgen,29,126,,,,Lotto Soudal,21,2016
29,Clement Stef,30,18,12,7,,IAM Cycling,8,2016
