,index,21-stage,21-gc,21-points,21-youth,21-kom,team,21-teams,year
30,Bardet Romain,31,2,21,20,,AG2R La Mondiale,4,2016
31,Rosa Diego,32,37,78,13,,Astana Pro Team,5,2016
32,Porte Richie,33,5,38,40,,BMC Racing Team,3,2016
33,Yates Adam,34,4,31,52,1,ORICA-BikeExchange,12,2016
34,Meintjes Louis,35,8,51,41,2,Lampre - Merida,10,2016
35,Irizar Markel,36,120,90,65,,Trek - Segafredo,7,2016
36,Van Baarle Dylan,37,91,74,,12,Cannondale-Drapac Pro Cycling Team,19,2016
37,Petit Adrien,38,164,130,,,Direct Energie,17,2016
38,Bodnar Maciej,39,159,70,,,Tinkoff,6,2016
39,Sabatini Fabio,40,150,37,,,Etixx - Quick Step,13,2016
40,Sieberg Marcel,41,169,,,,Lotto Soudal,21,2016
41,Gallopin Tony,42,71,36,22,,Lotto Soudal,21,2016
42,Curvers Roy,43,122,126,,,Team Giant - Alpecin,14,2016
43,Gautier Cyril,44,68,103,,,AG2R La Mondiale,4,2016
44,Albasini Michael,45,132,,,,ORICA-BikeExchange,12,2016
45,Vicioso Ángel,46,129,,,,Team Katusha ,9,2016
46,Zubeldia Haimar,47,24,123,,,Trek - Segafredo,7,2016
47,Losada Alberto,48,67,102,,,Team Katusha ,9,2016
48,Reichenbach Sébastien,49,14,83,25,,FDJ,11,2016
49,Rolland Pierre,50,16,72,30,,Cannondale-Drapac Pro Cycling Team,19,2016
50,Schleck Fränk,51,34,137,,,Trek - Segafredo,7,2016
51,Rodríguez Joaquim,52,7,19,21,,Team Katusha ,9,2016
52,Arashiro Yukiya,53,116,82,58,,Lampre - Merida,10,2016
53,Pozzovivo Domenico,54,33,87,24,,AG2R La Mondiale,4,2016
54,Buchmann Emanuel,55,21,84,,3,Bora - Argon 18,15,2016
55,Schär Michael,56,76,,,,BMC Racing Team,3,2016
56,Bookwalter Brent,57,117,,,,BMC Racing Team,3,2016
57,Martens Paul,58,98,89,,,Team LottoNL-Jumbo,16,2016
58,Aru Fabio,59,13,40,62,,Astana Pro Team,5,2016
59,Eisel Bernhard,60,171,127,,,Team Dimension Data,22,2016
60,Kittel Marcel,61,166,2,,,Etixx - Quick Step,13,2016
61,Tosatto Matteo,62,145,111,,,Tinkoff,6,2016
62,Périchon Pierre-luc,63,93,96,,,Fortuneo - Vital Concept,20,2016
63,Hansen Adam,64,100,,,,Lotto Soudal,21,2016
64,Henderson Gregory,65,155,118,,,Lotto Soudal,21,2016
65,Vermote Julien,66,114,134,,,Etixx - Quick Step,13,2016
66,Keisse Iljo,67,139,56,,,Etixx - Quick Step,13,2016
67,Alaphilippe Julian,68,41,11,12,6,Etixx - Quick Step,13,2016
68,Sørensen Chris Anker,69,84,93,44,,Fortuneo - Vital Concept,20,2016
69,Bakelants Jan,70,50,128,,,AG2R La Mondiale,4,2016
70,Vuillermoz Alexis,71,20,45,11,,AG2R La Mondiale,4,2016
71,Erviti Imanol,72,108,133,,,Movistar Team,1,2016
72,Gastauer Ben,73,61,,,,AG2R La Mondiale,4,2016
73,Dumoulin Samuel,74,130,39,,,AG2R La Mondiale,4,2016
74,Cherel Mikaël,75,57,80,,,AG2R La Mondiale,4,2016
75,Vachon Florian,76,105,112,,,Fortuneo - Vital Concept,20,2016
76,Anacona Winner,77,69,92,15,,Movistar Team,1,2016
77,Stetina Peter,78,46,,,,Trek - Segafredo,7,2016
78,Polanc Jan,79,54,114,,7,Lampre - Merida,10,2016
79,Đurasek Kristijan,80,51,65,9,,Lampre - Merida,10,2016
80,Fonseca Armindo,81,146,75,68,,Fortuneo - Vital Concept,20,2016
81,Delaplace Anthony,82,90,95,,,Fortuneo - Vital Concept,20,2016
82,Pauwels Serge,83,42,13,6,,Team Dimension Data,22,2016
83,Izagirre Ion,84,47,35,26,,Movistar Team,1,2016
84,Kangert Tanel,85,26,77,,,Astana Pro Team,5,2016
85,Barguil Warren,86,23,108,,4,Team Giant - Alpecin,14,2016
86,Van Garderen Tejay,87,29,100,70,,BMC Racing Team,3,2016
87,Konrad Patrick,88,65,124,47,10,Bora - Argon 18,15,2016
88,Preidler Georg,89,56,,,,Team Giant - Alpecin,14,2016
89,Teklehaimanot Daniel,90,85,47,28,,Team Dimension Data,22,2016
90,Moinard Amaël,91,45,125,,,BMC Racing Team,3,2016
91,Benedetti Cesare,92,128,42,66,,Bora - Argon 18,15,2016
92,Bárta Jan,93,88,25,51,,Bora - Argon 18,15,2016
93,Majka Rafał,94,27,10,1,,Tinkoff,6,2016
94,Koren Kristijan,95,152,,,,Cannondale-Drapac Pro Cycling Team,19,2016
95,Caruso Damiano,96,22,62,,,BMC Racing Team,3,2016
96,Pibernik Luka,97,102,,,15,Lampre - Merida,10,2016
97,Pantano Jarlinson,98,19,17,3,,IAM Cycling,8,2016
98,Duchesne Antoine,99,107,110,,16,Direct Energie,17,2016
99,Oliveira Nelson,100,80,73,71,,Movistar Team,1,2016
100,Huzarski Bartosz,101,39,46,54,,Bora - Argon 18,15,2016
101,Morabito Steve,102,36,68,32,,FDJ,11,2016
102,Bonnet William,103,127,,,,FDJ,11,2016
103,Roy Jérémy,104,96,58,,,FDJ,11,2016
104,Moreno Daniel,105,31,,,,Movistar Team,1,2016
105,Coppel Jérôme,106,75,60,,,IAM Cycling,8,2016
106,Maté Luis Ángel,107,55,88,,,"Cofidis, Solutions Crédits",18,2016
107,Sepúlveda Eduardo,108,59,,46,8,Fortuneo - Vital Concept,20,2016
108,Schillinger Andreas,109,154,76,,,Bora - Argon 18,15,2016
109,Plaza Rubén,110,72,,,,ORICA-BikeExchange,12,2016
110,Impey Daryl,111,38,29,45,,ORICA-BikeExchange,12,2016
111,Cummings Steve,112,140,15,39,,Team Dimension Data,22,2016
112,Van Avermaet Greg,113,44,8,34,,BMC Racing Team,3,2016
113,Juul-jensen Christopher,114,119,129,,,ORICA-BikeExchange,12,2016
114,Durbridge Luke,115,112,63,,18,ORICA-BikeExchange,12,2016
115,Slagter Tom-jelte,116,82,99,,,Cannondale-Drapac Pro Cycling Team,19,2016
116,Tiralongo Paolo,117,74,,,,Astana Pro Team,5,2016
117,Nibali Vincenzo,118,30,26,8,,Astana Pro Team,5,2016
118,Sánchez Luis León,119,48,113,,,Astana Pro Team,5,2016
119,Elmiger Martin,120,64,94,,,IAM Cycling,8,2016
120,Kelderman Wilco,121,32,48,31,5,Team LottoNL-Jumbo,16,2016
121,Howes Alex,122,131,44,67,,Cannondale-Drapac Pro Cycling Team,19,2016
122,Feillu Brice,123,70,49,17,,Fortuneo - Vital Concept,20,2016
123,Bono Matteo,124,136,,,,Lampre - Merida,10,2016
124,Wynants Maarten,125,138,,,,Team LottoNL-Jumbo,16,2016
125,Kišerlovski Robert,126,58,138,55,,Tinkoff,6,2016
126,Zakarin Ilnur,127,25,54,4,,Team Katusha ,9,2016
127,Fuglsang Jakob,128,52,,,,Astana Pro Team,5,2016
128,Timmer Albert,129,153,,,,Team Giant - Alpecin,14,2016
129,Gougeard Alexis,130,147,59,48,24,AG2R La Mondiale,4,2016
130,Chavanel Sylvain,131,43,43,16,,Direct Energie,17,2016
131,Thomas Geraint,132,15,79,63,,Team Sky,2,2016
132,Poels Wout,133,28,64,37,,Team Sky,2,2016
133,Henao Sergio,134,12,104,27,,Team Sky,2,2016
134,Landa Mikel,135,35,105,36,,Team Sky,2,2016
135,Nieve Mikel,136,17,,42,,Team Sky,2,2016
136,Rowe Luke,137,151,136,,,Team Sky,2,2016
137,Froome Chris,138,1,9,18,,Team Sky,2,2016
138,Kiryienka Vasil,139,103,,,,Team Sky,2,2016
139,Stannard Ian,140,161,121,,,Team Sky,2,2016
140,Haller Marco,141,162,,,27,Team Katusha ,9,2016
141,Edet Nicolas,142,106,116,,,"Cofidis, Solutions Crédits",18,2016
142,Jeannesson Arnold,143,87,,,,"Cofidis, Solutions Crédits",18,2016
143,Costa Rui,144,49,22,5,,Lampre - Merida,10,2016
144,Mollema Bauke,145,11,52,53,,Trek - Segafredo,7,2016
145,Rast Grégory,146,123,,,,Trek - Segafredo,7,2016
146,Voß Paul,147,101,57,60,,Bora - Argon 18,15,2016
147,Lemoine Cyril,148,137,117,,,"Cofidis, Solutions Crédits",18,2016
148,Vakoč Petr,149,118,107,,20,Etixx - Quick Step,13,2016
149,Grmay Tsgabu,150,92,132,56,13,Lampre - Merida,10,2016
150,Lutsenko Alexey,151,62,85,43,9,Astana Pro Team,5,2016
151,Cousin Jérôme,152,121,,,,"Cofidis, Solutions Crédits",18,2016
152,Bak Lars Ytting,153,173,122,,,Lotto Soudal,21,2016
153,De Gendt Thomas,154,40,7,2,,Lotto Soudal,21,2016
154,Wagner Robert,155,163,,,,Team LottoNL-Jumbo,16,2016
155,Bennett George,156,53,109,14,,Team LottoNL-Jumbo,16,2016
156,Berhane Natnael,157,125,139,,22,Team Dimension Data,22,2016
157,Hollenstein Reto,158,97,,,,IAM Cycling,8,2016
158,Ten Dam Laurens,159,73,115,,,Team Giant - Alpecin,14,2016
159,Enger Sondre Holst,160,141,23,,23,IAM Cycling,8,2016
160,Geschke Simon,161,66,101,,,Team Giant - Alpecin,14,2016
161,Lindeman Bert-jan,162,94,53,23,,Team LottoNL-Jumbo,16,2016
162,Burghardt Marcus,163,89,61,64,,BMC Racing Team,3,2016
163,Groenewegen Dylan,164,160,33,,26,Team LottoNL-Jumbo,16,2016
164,Hayman Mathew,165,135,135,,,ORICA-BikeExchange,12,2016
165,Gène Yohann,166,158,140,,,Direct Energie,17,2016
166,Voeckler Thomas,167,79,34,10,,Direct Energie,17,2016
167,Coquard Bryan,168,113,6,,19,Direct Energie,17,2016
168,Roosen Timo,169,111,,,17,Team LottoNL-Jumbo,16,2016
169,Craddock Lawson,170,124,91,,21,Cannondale-Drapac Pro Cycling Team,19,2016
170,Naesen Oliver,171,83,69,,,IAM Cycling,8,2016
171,Sicard Romain,172,81,50,33,,Direct Energie,17,2016
172,Jeandesboz Fabrice,173,60,120,,,Direct Energie,17,2016
173,Breen Vegard,174,167,66,69,,Fortuneo - Vital Concept,20,2016
174,Martin Tony,DNF,,,,,Etixx - Quick Step,13,2016
