,rider,scorito,year
14,Jungels Bob,916.0,2017
11,Gaviria Fernando,855.0,2017
27,Dumoulin Tom,736.0,2017
24,Quintana Nairo,584.0,2017
22,Nibali Vincenzo,502.0,2017
26,Yates Adam,500.0,2017
51,Pinot Thibaut,468.0,2017
174,Richeze Maximiliano,410.0,2017
6,Stuyven Jasper,399.0,2017
43,Landa Mikel,389.0,2017
65,De Plus Laurens,380.0,2017
50,Zakarin Ilnur,370.0,2017
2,Greipel André,357.0,2017
63,Devenyns Dries,344.0,2017
30,Pozzovivo Domenico,340.0,2017
68,Martinelli Davide,316.0,2017
119,Keisse Iljo,314.0,2017
158,Capecchi Eros,314.0,2017
188,Serry Pieter,314.0,2017
34,Polanc Jan,310.0,2017
8,Bennett Sam,301.0,2017
48,Mollema Bauke,280.0,2017
17,Thomas Geraint,269.0,2017
9,Bauhaus Phil,261.0,2017
52,Formolo Davide,251.0,2017
1,Ewan Caleb,249.0,2017
0,Pöstlberger Lukas,249.0,2017
7,Gibbons Ryan,215.0,2017
112,Fraile Omar,203.0,2017
19,Costa Rui,200.0,2017
21,Sánchez Luis León,193.0,2017
98,Rolland Pierre,187.0,2017
37,Ferrari Roberto,184.0,2017
72,Kelderman Wilco,180.0,2017
31,Preidler Georg,178.0,2017
4,Modolo Sacha,160.0,2017
53,Amador Andrey,160.0,2017
71,Kruijswijk Steven,158.0,2017
12,Battaglin Enrico,158.0,2017
33,Selig Rüdiger,151.0,2017
143,Reichenbach Sébastien,142.0,2017
83,Haga Chad,138.0,2017
169,Izagirre Gorka,138.0,2017
56,Monfort Maxime,134.0,2017
35,Konrad Patrick,133.0,2017
100,Teklehaimanot Daniel,132.0,2017
109,Geschke Simon,130.0,2017
5,Sbaragli Kristian,130.0,2017
114,Ten Dam Laurens,130.0,2017
175,Stamsnijder Tom,130.0,2017
177,Lunke Sindre,130.0,2017
167,Kiryienka Vasil,117.0,2017
15,Mareczko Jakub,114.0,2017
115,Hirt Jan,112.0,2017
74,Woods Michael,112.0,2017
38,Van Garderen Tejay,112.0,2017
103,Cataldo Dario,108.0,2017
42,Petilli Simone,102.0,2017
134,Visconti Giovanni,94.0,2017
13,Kuznetsov Viacheslav,92.0,2017
70,Van Emden Jos,86.0,2017
60,Kangert Tanel,86.0,2017
61,Bárta Jan,85.0,2017
104,Henao Sebastián,81.0,2017
170,Sutherland Rory,80.0,2017
3,Nizzolo Giacomo,78.0,2017
41,Puccio Salvatore,77.0,2017
190,Dillier Silvan,74.0,2017
147,Hermans Ben,72.0,2017
185,Mezgec Luka,68.0,2017
23,Tsatevich Alexey,68.0,2017
10,Mühlberger Gregor,67.0,2017
99,Quinziato Manuel,60.0,2017
166,Deignan Philip,59.0,2017
47,Haas Nathan,58.0,2017
105,Busato Matteo,58.0,2017
180,Tratnik Jan,58.0,2017
139,Hepburn Michael,56.0,2017
79,Anacona Winner,56.0,2017
181,Benedetti Cesare,53.0,2017
32,Rosskopf Joey,52.0,2017
91,Elissonde Kenny,49.0,2017
25,Rosa Diego,49.0,2017
78,Gołaś Michał,49.0,2017
16,Barbin Enrico,48.0,2017
162,Herrada José,46.0,2017
67,Conti Valerio,46.0,2017
20,Rojas José Joaquín,44.0,2017
156,Plaza Rubén,44.0,2017
36,Bennati Daniele,44.0,2017
144,De La Parte Víctor,44.0,2017
75,Mendes José,43.0,2017
154,Antón Igor,43.0,2017
107,Pellizotti Franco,42.0,2017
45,Siutsou Kanstantsin,42.0,2017
127,Dupont Hubert,42.0,2017
39,Montaguti Matteo,42.0,2017
136,Andreetta Simone,42.0,2017
102,Janse Van Rensburg Jacques,41.0,2017
193,Pelucchi Matteo,39.0,2017
120,Bilbao Pello,36.0,2017
82,De Buyst Jasper,36.0,2017
172,De Bie Sean,36.0,2017
66,Bak Lars Ytting,36.0,2017
81,Marczyński Tomasz,36.0,2017
73,Hofland Moreno,36.0,2017
192,De Clercq Bart,36.0,2017
76,Hansen Adam,36.0,2017
92,Ravasi Edward,34.0,2017
49,Villella Davide,34.0,2017
122,Edmondson Alex,34.0,2017
133,Marcato Marco,34.0,2017
116,Mohorič Matej,34.0,2017
182,Shalunov Evgeny,30.0,2017
189,Tuft Svein,30.0,2017
57,Juul-jensen Christopher,28.0,2017
165,Verona Carlos,28.0,2017
54,Großschartner Felix,28.0,2017
151,Rota Lorenzo,24.0,2017
164,Dombrowski Joe,24.0,2017
86,Ludvigsson Tobias,24.0,2017
55,Berhane Natnael,22.0,2017
125,Teuns Dylan,22.0,2017
149,Bernard Julien,22.0,2017
135,Van Zyl Johann,22.0,2017
187,Koshevoy Ilia,22.0,2017
186,Białobłocki Marcin,21.0,2017
145,Clement Stef,20.0,2017
29,Dennis Rohan,20.0,2017
40,Savitskiy Ivan,20.0,2017
28,Ventoso Francisco José,20.0,2017
138,Amezqueta Julen,20.0,2017
194,Senni Manuel,20.0,2017
191,Pedersen Mads,18.0,2017
184,Howes Alex,16.0,2017
159,Van Den Broeck Jurgen,16.0,2017
46,Koren Kristijan,16.0,2017
155,Carthy Hugh,16.0,2017
108,Slagter Tom-jelte,16.0,2017
106,Zhupa Eugert,15.0,2017
64,Brutt Pavel,14.0,2017
110,Paterski Maciej,14.0,2017
117,Roy Jérémy,10.0,2017
85,Ladagnous Matthieu,10.0,2017
113,Tankink Bram,10.0,2017
148,Moreno Javier,10.0,2017
183,Campenaerts Victor,10.0,2017
146,Vaugrenard Benoît,10.0,2017
89,Molard Rudy,10.0,2017
176,Keizer Martijn,10.0,2017
90,Agnoli Valerio,10.0,2017
137,Boaro Manuele,10.0,2017
93,Gasparotto Enrico,10.0,2017
121,Morabito Steve,10.0,2017
130,Castelijns Twan,10.0,2017
44,Pibernik Luka,10.0,2017
96,Bonnet William,10.0,2017
