,rider,scorito,year
58,Jauregui Quentin,8.0,2017
88,Hansen Jesper,6.0,2017
18,Ponzi Simone,4.0,2017
141,Maestri Mirco,4.0,2017
178,Albanese Vincenzo,4.0,2017
160,Samoilau Branislau,2.0,2017
171,Hernández Blázquez Jesús,0.0,2017
173,Mamykin Matvey,0.0,2017
195,Pirazzi Stefano,0.0,2017
179,Losada Alberto,0.0,2017
168,Bizhigitov Zhandos,0.0,2017
59,Bidard François,0.0,2017
163,Geniez Alexandre,0.0,2017
161,Kozontchuk Dmitry,0.0,2017
80,Didier Laurent,0.0,2017
84,Rovny Ivan,0.0,2017
87,Kochetkov Pavel,0.0,2017
94,Alafaci Eugenio,0.0,2017
95,Belkov Maxim,0.0,2017
97,Owsian Łukasz,0.0,2017
77,Gonçalves José,0.0,2017
101,Bérard Julien,0.0,2017
69,Kišerlovski Robert,0.0,2017
111,Zeits Andrey,0.0,2017
118,Schlegel Michal,0.0,2017
123,Lagutin Sergey,0.0,2017
124,Pozzato Filippo,0.0,2017
126,Stetina Peter,0.0,2017
128,Foliforov Alexander,0.0,2017
129,Gastauer Ben,0.0,2017
131,Rodríguez Cristián,0.0,2017
132,Firsanov Sergey,0.0,2017
62,Chevrier Clément,0.0,2017
140,Boem Nicola,0.0,2017
142,Ciccone Giulio,0.0,2017
150,Vicioso Ángel,0.0,2017
152,Martínez Daniel Felipe,0.0,2017
153,Tiralongo Paolo,0.0,2017
157,Fonzi Giuseppe,0.0,2017
196,Ruffoni Nicola,0.0,2017
