,index,21-stage,21-gc,21-points,21-youth,21-kom,team,21-teams,year
110,Mohorič Matej,111,31,6,26,,Bahrain - Victorious,1,2021
111,Périchon Pierre-luc,112,92,22,,,Cofidis,14,2021
112,Fraile Omar,113,57,83,32,,Astana - Premier Tech,8,2021
113,Porte Richie,114,38,106,,,INEOS Grenadiers,4,2021
114,Thomas Geraint,115,41,107,,,INEOS Grenadiers,4,2021
115,Kwiatkowski Michał,116,68,,51,,INEOS Grenadiers,4,2021
116,Buchmann Emanuel,117,33,117,,,BORA - hansgrohe,6,2021
117,Martin Dan,118,40,52,15,,Israel Start-Up Nation,19,2021
118,Herrada Jesús,119,87,118,,,Cofidis,14,2021
119,Geschke Simon,120,62,,,,Cofidis,14,2021
120,Cosnefroy Benoît,121,107,104,,,AG2R Citroën Team,5,2021
121,Zimmermann Georg,122,80,55,,13,Intermarché - Wanty - Gobert Matériaux,15,2021
122,Cattaneo Mattia,123,12,19,19,,Deceuninck - Quick Step,11,2021
123,Devenyns Dries,124,135,82,,,Deceuninck - Quick Step,11,2021
124,Juul-jensen Christopher,125,114,64,48,,Team BikeExchange,16,2021
125,Doubey Fabien,126,78,71,33,,TotalEnergies,17,2021
126,Sweeny Harry,127,85,25,45,14,Lotto Soudal,23,2021
127,Clarke Simon,128,123,76,,,Team Qhubeka NextHash,21,2021
128,Verona Carlos,129,101,,,,Movistar Team,9,2021
129,Cabot Jérémy,130,132,95,,,TotalEnergies,17,2021
130,Van Moer Brent,131,65,36,44,10,Lotto Soudal,23,2021
131,Donovan Mark,132,45,110,,8,Team DSM,22,2021
132,Schelling Ide,133,119,53,34,23,BORA - hansgrohe,6,2021
133,Vakoč Petr,134,118,123,,,Alpecin-Fenix,20,2021
134,Alaphilippe Julian,135,30,7,16,,Deceuninck - Quick Step,11,2021
135,Valgren Michael,136,53,101,,,EF Education - Nippo,2,2021
136,Higuita Sergio,137,25,21,11,5,EF Education - Nippo,2,2021
137,Declercq Tim,138,141,,,,Deceuninck - Quick Step,11,2021
138,Houle Hugo,139,66,72,55,,Astana - Premier Tech,8,2021
139,Elissonde Kenny,140,36,66,12,,Trek - Segafredo,7,2021
140,Turgis Anthony,141,73,30,20,,TotalEnergies,17,2021
141,Fuglsang Jakob,DNS,,,,,Astana - Premier Tech,8,2021
