,rider,team,year,age,race,team_points,key,best-classic-riders,top-gc-riders,top-sprinters,top-time-trial-riders,profile_type,profile_score,profile_vert,scorito,target,strength,finished
1516,Formolo Davide,UAE Team Emirates,2021,28.0,tour-de-france,1562.0,Formolo Davide-2021,178.0,69.0,,,2.8095238095238093,153.8095238095238,2261.7619047619046,108.0,251.0,42.0,0.3571428571428571
1505,Keisse Iljo,Deceuninck - Quick Step,2021,,,3038.0,Keisse Iljo-2021,18.0,30.0,,,2.8095238095238093,153.8095238095238,2261.7619047619046,,314.0,43.0,0.3571428571428571
1504,Serry Pieter,Deceuninck - Quick Step,2021,,,3038.0,Serry Pieter-2021,28.0,33.0,,23.0,2.8095238095238093,153.8095238095238,2261.7619047619046,248.0,314.0,43.0,0.3571428571428571
1654,Benedetti Cesare,BORA - hansgrohe,2021,,,2007.0,Benedetti Cesare-2021,13.0,25.0,,,2.8095238095238093,153.8095238095238,2261.7619047619046,,53.0,45.0,0.3571428571428571
1149,Ludvigsson Tobias,Groupama - FDJ,2019,,,2421.0,Ludvigsson Tobias-2019,16.0,40.0,,45.0,2.9523809523809526,138.1904761904762,2478.0476190476193,167.0,24.0,55.0,0.3333333333333333
990,Formolo Davide,BORA - hansgrohe,2019,,,3674.0,Formolo Davide-2019,115.0,480.0,,20.0,2.9523809523809526,138.1904761904762,2478.0476190476193,108.0,251.0,42.0,0.3333333333333333
952,Haga Chad,Team Sunweb,2019,30.0,tour-de-france,3763.0,Haga Chad-2019,15.0,66.0,,146.0,2.9523809523809526,138.1904761904762,2478.0476190476193,113.0,138.0,57.0,0.3333333333333333
1081,Kangert Tanel,EF Education First,2019,32.0,tour-de-france,1626.0,Kangert Tanel-2019,27.0,237.0,,76.0,2.9523809523809526,138.1904761904762,2478.0476190476193,76.0,86.0,36.0,0.3333333333333333
1007,Polanc Jan,UAE Team Emirates,2019,,,3489.0,Polanc Jan-2019,44.0,154.0,,10.0,2.9523809523809526,138.1904761904762,2478.0476190476193,,310.0,57.0,0.3333333333333333
1072,Gastauer Ben,AG2R La Mondiale,2019,,,1486.0,Gastauer Ben-2019,18.0,,,,2.9523809523809526,138.1904761904762,2478.0476190476193,,0.0,36.0,0.3333333333333333
1027,Henao Sebastián,Team INEOS,2019,,,2042.0,Henao Sebastián-2019,17.0,70.0,,,2.9523809523809526,138.1904761904762,2478.0476190476193,192.0,81.0,28.0,0.3333333333333333
1301,Serry Pieter,Deceuninck - Quick Step,2020,,,1415.0,Serry Pieter-2020,98.0,57.0,44.6,,2.8095238095238093,151.0952380952381,2630.904761904762,248.0,314.0,36.0,0.3076923076923077
1226,Benedetti Cesare,BORA - hansgrohe,2020,,,1479.0,Benedetti Cesare-2020,50.0,35.0,,,2.8095238095238093,151.0952380952381,2630.904761904762,,53.0,45.0,0.3076923076923077
1349,Hepburn Michael,Mitchelton-Scott,2020,,,1737.0,Hepburn Michael-2020,57.0,35.0,,76.0,2.8095238095238093,151.0952380952381,2630.904761904762,24.0,56.0,57.0,0.3076923076923077
1237,Dombrowski Joe,UAE Team Emirates,2020,,,1982.0,Dombrowski Joe-2020,,275.0,,38.0,2.8095238095238093,151.0952380952381,2630.904761904762,96.0,24.0,53.0,0.3076923076923077
1305,Keisse Iljo,Deceuninck - Quick Step,2020,,,1415.0,Keisse Iljo-2020,19.0,,,,2.8095238095238093,151.0952380952381,2630.904761904762,,314.0,36.0,0.3076923076923077
1241,Richeze Maximiliano,UAE Team Emirates,2020,,,1982.0,Richeze Maximiliano-2020,95.0,61.0,276.0,,2.8095238095238093,151.0952380952381,2630.904761904762,,410.0,53.0,0.3076923076923077
1449,Villella Davide,Movistar Team,2020,,,365.0,Villella Davide-2020,127.0,152.0,,,2.8095238095238093,151.0952380952381,2630.904761904762,,34.0,38.0,0.3076923076923077
1544,Landa Mikel,Bahrain - Victorious,2021,,,3186.0,Landa Mikel-2021,47.0,528.0,81.0,45.0,2.8095238095238093,153.8095238095238,2261.7619047619046,89.0,389.0,77.0,0.2857142857142857
1714,Bidard François,AG2R Citroën Team,2021,,,1038.0,Bidard François-2021,,23.0,,,2.8095238095238093,153.8095238095238,2261.7619047619046,,0.0,38.0,0.2857142857142857
1518,Conti Valerio,UAE Team Emirates,2021,,,1562.0,Conti Valerio-2021,92.0,20.0,86.0,14.0,2.8095238095238093,153.8095238095238,2261.7619047619046,86.0,46.0,42.0,0.2857142857142857
1545,Bilbao Pello,Bahrain - Victorious,2021,31.0,tour-de-france,3186.0,Bilbao Pello-2021,54.0,417.0,109.1,228.0,2.8095238095238093,153.8095238095238,2261.7619047619046,,36.0,77.0,0.2857142857142857
1536,Hepburn Michael,Team BikeExchange,2021,,,1263.0,Hepburn Michael-2021,,13.0,,55.0,2.8095238095238093,153.8095238095238,2261.7619047619046,24.0,56.0,40.0,0.2857142857142857
1521,Richeze Maximiliano,UAE Team Emirates,2021,,,1562.0,Richeze Maximiliano-2021,5.0,8.0,11.0,,2.8095238095238093,153.8095238095238,2261.7619047619046,,410.0,42.0,0.2857142857142857
429,Richeze Maximiliano,Quick-Step Floors,2017,,,3229.0,Richeze Maximiliano-2017,171.0,31.0,441.0,,2.9523809523809526,134.28571428571428,2570.6190476190477,,410.0,30.0,0.2727272727272727
348,Henao Sebastián,Team Sky,2017,,,2722.0,Henao Sebastián-2017,30.0,187.0,,41.0,2.9523809523809526,134.28571428571428,2570.6190476190477,192.0,81.0,40.0,0.2727272727272727
351,Puccio Salvatore,Team Sky,2017,,,2722.0,Puccio Salvatore-2017,44.0,55.0,,,2.9523809523809526,134.28571428571428,2570.6190476190477,,77.0,40.0,0.2727272727272727
462,Gastauer Ben,AG2R La Mondiale,2017,29.0,tour-de-france,1603.0,Gastauer Ben-2017,49.0,,,,2.9523809523809526,134.28571428571428,2570.6190476190477,,0.0,32.0,0.2727272727272727
333,Ludvigsson Tobias,FDJ,2017,,,1979.0,Ludvigsson Tobias-2017,,67.0,,341.0,2.9523809523809526,134.28571428571428,2570.6190476190477,167.0,24.0,53.0,0.2727272727272727
596,Lagutin Sergey,Gazprom-RusVelo,2017,,,876.0,Lagutin Sergey-2017,38.0,,,,2.9523809523809526,134.28571428571428,2570.6190476190477,,0.0,74.0,0.2727272727272727
307,Sutherland Rory,Movistar Team,2017,,,3999.0,Sutherland Rory-2017,10.0,,,,2.9523809523809526,134.28571428571428,2570.6190476190477,18.0,80.0,54.0,0.2727272727272727
760,Formolo Davide,BORA - hansgrohe,2018,,,2420.0,Formolo Davide-2018,17.0,330.0,,18.0,3.142857142857143,135.47619047619048,2437.4761904761904,108.0,251.0,51.0,0.2727272727272727
511,Battaglin Enrico,Team LottoNL-Jumbo,2017,,,2117.0,Battaglin Enrico-2017,57.0,35.0,79.4,,2.9523809523809526,134.28571428571428,2570.6190476190477,111.0,158.0,49.0,0.2727272727272727
480,Ventoso Francisco José,BMC Racing Team,2017,,,3840.0,Ventoso Francisco José-2017,42.0,,,,2.9523809523809526,134.28571428571428,2570.6190476190477,,20.0,56.0,0.2727272727272727
428,Keisse Iljo,Quick-Step Floors,2017,,,3229.0,Keisse Iljo-2017,35.0,35.0,,,2.9523809523809526,134.28571428571428,2570.6190476190477,,314.0,30.0,0.2727272727272727
662,Haga Chad,Team Sunweb,2018,29.0,tour-de-france,2736.0,Haga Chad-2018,,55.0,,128.0,3.142857142857143,135.47619047619048,2437.4761904761904,113.0,138.0,47.0,0.2727272727272727
412,Mezgec Luka,ORICA-Scott,2017,,,3035.0,Mezgec Luka-2017,95.0,,122.0,,2.9523809523809526,134.28571428571428,2570.6190476190477,30.0,68.0,46.0,0.2727272727272727
720,Preidler Georg,Groupama - FDJ,2018,,,1783.0,Preidler Georg-2018,18.0,,,160.0,3.142857142857143,135.47619047619048,2437.4761904761904,219.0,178.0,42.0,0.2727272727272727
731,Polanc Jan,UAE Team Emirates,2018,,,3589.0,Polanc Jan-2018,35.0,219.0,57.5,60.0,3.142857142857143,135.47619047619048,2437.4761904761904,,310.0,60.0,0.2727272727272727
